Route,FROM,TO,PASSENGERS,FREIGHT,MAIL,DAYS
JAIPUR-HYDERABAD,JAIPUR,HYDERABAD,181142.0,847.92146,18.793,365
JAIPUR-INDORE,JAIPUR,INDORE,25185.0,1.2289999999999999,0.0,365
JAIPUR-JABALPUR,JAIPUR,JABALPUR,0.0,0.0,0.0,30
JAIPUR-JAISALMER,JAIPUR,JAISALMER,7360.0,0.0,0.0,182
JAIPUR-KOLKATA,JAIPUR,KOLKATA,171309.0,1715.44373,33.748,365
JAIPUR-LEH,JAIPUR,LEH,0.0,0.0,0.0,31
JAIPUR-LUCKNOW,JAIPUR,LUCKNOW,21517.0,0.756,0.0,365
JAIPUR-MUMBAI,JAIPUR,MUMBAI,479149.0,2120.47894,96.8768,365
JAIPUR-NAGPUR,JAIPUR,NAGPUR,22.0,0.0,0.0,31
JAIPUR-PATNA,JAIPUR,PATNA,5713.0,22.070999999999998,0.0,214
JAIPUR-PORT BLAIR,JAIPUR,PORT BLAIR,19.0,0.0,0.0,28
JAIPUR-PUNE,JAIPUR,PUNE,121328.0,495.96096,0.0,365
JAIPUR-SURAT,JAIPUR,SURAT,36503.0,20.34779,0.20700000000000002,365
JAIPUR-UDAIPUR,JAIPUR,UDAIPUR,20915.0,1.48576,0.0,304
JAIPUR-VADODARA,JAIPUR,VADODARA,3538.0,0.0,0.0,245
JAIPUR-VARANASI,JAIPUR,VARANASI,7293.0,14.613619999999997,0.0,245
JAISALMER-AHMEDABAD,JAISALMER,AHMEDABAD,2898.0,0.0,0.0,182
JAISALMER-AMRITSAR,JAISALMER,AMRITSAR,215.0,0.0,0.0,90
JAISALMER-BENGALURU,JAISALMER,BENGALURU,300.0,0.0,0.0,31
JAISALMER-DELHI,JAISALMER,DELHI,20726.0,0.0,0.0,182
JAISALMER-JAIPUR,JAISALMER,JAIPUR,7300.0,0.0,0.0,182
JAISALMER-MUMBAI,JAISALMER,MUMBAI,9583.0,0.0,0.0,182
JAISALMER-SURAT,JAISALMER,SURAT,0.0,0.0,0.0,31
JALGAON-AHMEDABAD,JALGAON,AHMEDABAD,385.0,0.0,0.0,59
JALGAON-MUMBAI,JALGAON,MUMBAI,646.0,0.0,0.0,59
JAMMU-AHMEDABAD,JAMMU,AHMEDABAD,5027.0,0.1,0.0,92
JAMMU-AMRITSAR,JAMMU,AMRITSAR,1968.0,0.0,0.0,304
JAMMU-BENGALURU,JAMMU,BENGALURU,6397.0,0.155,0.0,306
JAMMU-CHANDIGARH,JAMMU,CHANDIGARH,0.0,0.0,0.0,90
JAMMU-DELHI,JAMMU,DELHI,430036.0,350.49256,0.015,365
JAMMU-GWALIOR,JAMMU,GWALIOR,5141.0,0.049,0.0,212
JAMMU-HYDERABAD,JAMMU,HYDERABAD,825.0,0.0,0.0,306
JAMMU-INDORE,JAMMU,INDORE,14178.0,0.1,0.0,306
JAMMU-KOLKATA,JAMMU,KOLKATA,381.0,0.1,0.0,122
JAMMU-LEH,JAMMU,LEH,28199.0,131.3776,0.0,365
JAMMU-MUMBAI,JAMMU,MUMBAI,26275.0,11.71365,0.0,365
JAMMU-SRINAGAR,JAMMU,SRINAGAR,244905.0,450.30005,11.755,365
JAMMU-VARANASI,JAMMU,VARANASI,1998.0,0.0,0.0,92
JAMNAGAR-BENGALURU,JAMNAGAR,BENGALURU,5299.0,0.0,0.0,365
JAMNAGAR-HYDERABAD,JAMNAGAR,HYDERABAD,5554.0,0.0,0.0,365
JAMNAGAR-MUMBAI,JAMNAGAR,MUMBAI,42524.0,0.0,0.0,365
JEYPORE-BHUBANESWAR,JEYPORE,BHUBANESWAR,312.0,0.0,0.0,92
JEYPORE-VISAKHAPATNAM,JEYPORE,VISAKHAPATNAM,274.0,0.0,0.0,61
JHARSUGUDA-BENGALURU,JHARSUGUDA,BENGALURU,15529.0,0.323,0.0,243
JHARSUGUDA-BHUBANESWAR,JHARSUGUDA,BHUBANESWAR,14942.0,0.54,0.0,365
JHARSUGUDA-DELHI,JHARSUGUDA,DELHI,46299.0,2.5386699999999998,0.0,365
JHARSUGUDA-HYDERABAD,JHARSUGUDA,HYDERABAD,11767.0,6.15602,0.0,243
JHARSUGUDA-KOLKATA,JHARSUGUDA,KOLKATA,23185.0,7.356,0.0,365
JHARSUGUDA-MUMBAI,JHARSUGUDA,MUMBAI,202.0,0.0,0.0,31
JHARSUGUDA-RAIPUR,JHARSUGUDA,RAIPUR,7790.0,0.0,0.0,334
JODHPUR-AHMEDABAD,JODHPUR,AHMEDABAD,11552.0,0.002,0.0,245
JODHPUR-BELGAUM,JODHPUR,BELGAUM,5415.0,0.0,0.0,365
JODHPUR-BENGALURU,JODHPUR,BENGALURU,44228.0,0.5289999999999999,0.0,365
JODHPUR-CHENNAI,JODHPUR,CHENNAI,60950.0,0.5630000000000001,0.0,365
JODHPUR-DELHI,JODHPUR,DELHI,116283.0,34.865,32.189,365
JODHPUR-GUWAHATI,JODHPUR,GUWAHATI,1513.0,0.0,0.0,365
JODHPUR-HYDERABAD,JODHPUR,HYDERABAD,32081.0,1.339,0.0,365
JODHPUR-INDORE,JODHPUR,INDORE,8805.0,0.0,0.0,212
JODHPUR-JABALPUR,JODHPUR,JABALPUR,0.0,0.0,0.0,31
JODHPUR-KOLKATA,JODHPUR,KOLKATA,15274.0,1.9969999999999999,0.695,365
JODHPUR-MUMBAI,JODHPUR,MUMBAI,127304.0,4.659,5.715,365
JODHPUR-NAGPUR,JODHPUR,NAGPUR,28.0,0.0,0.0,31
JORHAT-AGARTALA,JORHAT,AGARTALA,2.0,0.0,0.0,31
JORHAT-BENGALURU,JORHAT,BENGALURU,6088.0,2.023,0.0,365
JORHAT-DELHI,JORHAT,DELHI,10332.0,1.039,0.0,365
JORHAT-GUWAHATI,JORHAT,GUWAHATI,12415.0,0.236,0.0,365
JORHAT-KOLKATA,JORHAT,KOLKATA,37731.0,5.048,0.0,365
JORHAT-NAGPUR,JORHAT,NAGPUR,0.0,0.0,0.0,28
KADAPA-BENGALURU,KADAPA,BENGALURU,2607.0,0.0,0.0,306
KADAPA-CHENNAI,KADAPA,CHENNAI,3502.0,0.0,0.0,306
KADAPA-HYDERABAD,KADAPA,HYDERABAD,12029.0,0.0,0.0,306
KADAPA-VIJAYAWADA,KADAPA,VIJAYAWADA,2266.0,0.0,0.0,306
KADAPA-VISAKHAPATNAM,KADAPA,VISAKHAPATNAM,4178.0,0.0,0.0,306
KALABURAGI-BENGALURU,KALABURAGI,BENGALURU,33365.0,0.11696,0.0,365
KALABURAGI-GHAZIABAD,KALABURAGI,GHAZIABAD,4633.0,0.0,0.0,365
KALABURAGI-TIRUPATI,KALABURAGI,TIRUPATI,4716.0,0.0,0.0,365
KANDLA-AHMEDABAD,KANDLA,AHMEDABAD,148.0,0.0,0.0,31
KANDLA-DELHI,KANDLA,DELHI,17342.0,0.0,0.0,334
KANDLA-HYDERABAD,KANDLA,HYDERABAD,2.0,0.0,0.0,62
KANDLA-MUMBAI,KANDLA,MUMBAI,29561.0,0.0,0.0,365
KANNUR-BENGALURU,KANNUR,BENGALURU,41605.0,3.3735,0.0,365
KANNUR-CHENNAI,KANNUR,CHENNAI,20278.0,0.12000000000000001,0.0,365
KANNUR-DABOLIM,KANNUR,DABOLIM,3702.0,0.0,0.0,120
KANNUR-DELHI,KANNUR,DELHI,15479.0,0.0,0.0,365
KANNUR-HUBLI,KANNUR,HUBLI,1646.0,0.0,0.0,120
KANNUR-HYDERABAD,KANNUR,HYDERABAD,21493.0,0.09000000000000001,0.0,365
KANNUR-KOCHI,KANNUR,KOCHI,21782.0,0.47900000000000004,0.0,365
KANNUR-KOZHIKODE,KANNUR,KOZHIKODE,137.0,0.0,0.0,365
KANNUR-MANGALORE,KANNUR,MANGALORE,158.0,0.0,0.0,59
KANNUR-MUMBAI,KANNUR,MUMBAI,42043.0,28.7975,0.0,365
KANNUR-TIRUCHIRAPALLY,KANNUR,TIRUCHIRAPALLY,87.0,0.0,0.0,31
KANNUR-TRIVANDRUM,KANNUR,TRIVANDRUM,19460.0,0.025,0.0,365
KANNUR-VARANASI,KANNUR,VARANASI,11.0,0.0,0.0,61
KANPUR-BENGALURU,KANPUR,BENGALURU,36895.0,0.0,0.0,365
KANPUR-CHENNAI,KANPUR,CHENNAI,235.0,0.0,0.0,92
KANPUR-DELHI,KANPUR,DELHI,22371.0,0.33804,0.0,365
KANPUR-GORAKHPUR,KANPUR,GORAKHPUR,1332.0,0.0,0.0,153
KANPUR-HYDERABAD,KANPUR,HYDERABAD,325.0,0.0,0.0,92
KANPUR-MUMBAI,KANPUR,MUMBAI,67488.0,0.465,0.058,365
KESHOD-MUMBAI,KESHOD,MUMBAI,2041.0,0.0,0.0,92
KHAJURAHO-DELHI,KHAJURAHO,DELHI,8437.0,0.42621999999999993,0.0,334
KHAJURAHO-VARANASI,KHAJURAHO,VARANASI,646.0,0.0,0.0,61
KOCHI-AGATTI ISLAND,KOCHI,AGATTI ISLAND,22157.0,32.588992,0.638886,365
KOCHI-AHMEDABAD,KOCHI,AHMEDABAD,29286.0,24.353,13.077,304
KOCHI-BENGALURU,KOCHI,BENGALURU,573131.0,516.571455,71.39384799999999,365
KOCHI-BHOPAL,KOCHI,BHOPAL,7272.0,1.043,0.0,365
KOCHI-CHANDIGARH,KOCHI,CHANDIGARH,408.0,0.861,0.0,61
KOCHI-CHENNAI,KOCHI,CHENNAI,220419.0,303.424,50.829,365
KOCHI-COIMBATORE,KOCHI,COIMBATORE,0.0,0.0,0.0,121
KOCHI-DABOLIM,KOCHI,DABOLIM,4716.0,0.19999999999999998,0.0,90
KOCHI-DELHI,KOCHI,DELHI,430442.0,1505.4734999999998,103.26093791656687,365
KOCHI-HUBLI,KOCHI,HUBLI,785.0,0.0,0.0,31
KOCHI-HYDERABAD,KOCHI,HYDERABAD,223137.0,279.72926,59.955,365
KOCHI-KANNUR,KOCHI,KANNUR,20789.0,0.506,0.0,365
KOCHI-KOLKATA,KOCHI,KOLKATA,43920.0,180.724,7.994,365
KOCHI-KOZHIKODE,KOCHI,KOZHIKODE,34.0,0.0,0.0,31
KOCHI-LUCKNOW,KOCHI,LUCKNOW,579.0,0.655,0.0,123
KOCHI-MUMBAI,KOCHI,MUMBAI,376414.0,742.56188,108.65649321266969,365
KOCHI-MYSORE,KOCHI,MYSORE,9026.0,0.0,0.0,335
KOCHI-NAGPUR,KOCHI,NAGPUR,8.0,0.0,0.0,61
KOCHI-PATNA,KOCHI,PATNA,1238.0,3.634,0.0,92
KOCHI-PUNE,KOCHI,PUNE,53233.0,101.84184,0.001,365
KOCHI-RAIPUR,KOCHI,RAIPUR,584.0,0.176,0.0,123
KOCHI-RANCHI,KOCHI,RANCHI,3748.0,2.516,0.0,304
KOCHI-TRIVANDRUM,KOCHI,TRIVANDRUM,21011.0,0.199,0.0,365
KOCHI-VADODARA,KOCHI,VADODARA,117.0,0.623,0.0,90
KOCHI-VARANASI,KOCHI,VARANASI,214.0,0.158,0.0,92
KOCHI-VISAKHAPATNAM,KOCHI,VISAKHAPATNAM,304.0,0.238,0.0,61
KOLHAPUR-AHMEDABAD,KOLHAPUR,AHMEDABAD,4345.0,0.0,0.0,214
KOLHAPUR-BENGALURU,KOLHAPUR,BENGALURU,5076.0,0.0,0.0,273
KOLHAPUR-CHENNAI,KOLHAPUR,CHENNAI,4.0,0.0,0.0,31
KOLHAPUR-HYDERABAD,KOLHAPUR,HYDERABAD,30950.0,0.745,0.0,365
KOLHAPUR-MUMBAI,KOLHAPUR,MUMBAI,1604.0,0.0,0.0,151
KOLHAPUR-TIRUPATI,KOLHAPUR,TIRUPATI,16133.0,0.0,0.0,365
KOLKATA-AGARTALA,KOLKATA,AGARTALA,392894.0,3003.8166,101.36667883834913,365
KOLKATA-AHMEDABAD,KOLKATA,AHMEDABAD,195643.0,1635.2840800000001,42.103,365
KOLKATA-AIZAWL,KOLKATA,AIZAWL,64131.0,221.09468,117.801201233076,365
KOLKATA-AMRITSAR,KOLKATA,AMRITSAR,48736.0,28.332,0.127,365
KOLKATA-BAGDOGRA,KOLKATA,BAGDOGRA,300042.0,699.09045,127.53766518527351,365
KOLKATA-BENGALURU,KOLKATA,BENGALURU,813966.0,6134.24415,154.6574,365
KOLKATA-BHUBANESWAR,KOLKATA,BHUBANESWAR,218681.0,288.14842,241.41287,365
KOLKATA-CHANDIGARH,KOLKATA,CHANDIGARH,40918.0,130.638,0.36000000000000004,365
KOLKATA-CHENNAI,KOLKATA,CHENNAI,416302.0,2867.12829,57.88853258504363,365
KOLKATA-COIMBATORE,KOLKATA,COIMBATORE,1077.0,1.9909999999999999,0.0,92
KOLKATA-DABOLIM,KOLKATA,DABOLIM,78817.0,103.59522,0.0,365
KOLKATA-DARBHANGA,KOLKATA,DARBHANGA,26014.0,4.973,0.0,365
KOLKATA-DEHRA DUN,KOLKATA,DEHRA DUN,13063.0,4.1819999999999995,0.0,245
KOLKATA-DELHI,KOLKATA,DELHI,1223814.0,20960.7875,464.4810035051887,365
KOLKATA-DIBRUGARH,KOLKATA,DIBRUGARH,100509.0,423.1506,78.578,365
KOLKATA-DIMAPUR,KOLKATA,DIMAPUR,56370.0,959.823256,61.46999810288936,365
KOLKATA-DURGAPUR,KOLKATA,DURGAPUR,132.0,0.0,0.0,30
KOLKATA-Deoghar Airport,KOLKATA,Deoghar Airport,4200.0,0.495,0.0,184
KOLKATA-GAYA,KOLKATA,GAYA,16032.0,1.309,0.0,365
KOLKATA-GORAKHPUR,KOLKATA,GORAKHPUR,19827.0,0.008,0.003,365
KOLKATA-GUWAHATI,KOLKATA,GUWAHATI,444413.0,3389.5033359999998,313.385667276529,365
KOLKATA-GWALIOR,KOLKATA,GWALIOR,11122.0,22.8734,0.0,273
KOLKATA-HYDERABAD,KOLKATA,HYDERABAD,424562.0,2937.0905,87.8366,365
"KOLKATA-Hollongi Airport, Itanagar",KOLKATA,"Hollongi Airport, Itanagar",3634.0,0.001,0.0,31
KOLKATA-IMPHAL,KOLKATA,IMPHAL,159179.0,1369.6068500000001,127.09456211920529,365
KOLKATA-INDORE,KOLKATA,INDORE,42129.0,203.356,7.975,365
KOLKATA-ITANAGAR,KOLKATA,ITANAGAR,239.0,0.0,0.0,30
KOLKATA-JABALPUR,KOLKATA,JABALPUR,1295.0,6.20087,0.0,92
KOLKATA-JAIPUR,KOLKATA,JAIPUR,178247.0,799.80482,56.910000000000004,365
KOLKATA-JAMMU,KOLKATA,JAMMU,877.0,0.001,0.0,122
KOLKATA-JHARSUGUDA,KOLKATA,JHARSUGUDA,21441.0,4.09735,0.0,365
KOLKATA-JODHPUR,KOLKATA,JODHPUR,14095.0,1.705,0.0,365
KOLKATA-JORHAT,KOLKATA,JORHAT,40880.0,142.557,0.0,365
KOLKATA-KOCHI,KOLKATA,KOCHI,47400.0,197.023,14.4485,365
KOLKATA-Kushinagar International Airport,KOLKATA,Kushinagar International Airport,59.0,0.0,0.0,31
KOLKATA-LILABARI,KOLKATA,LILABARI,11441.0,10.66918,0.0,365
KOLKATA-LUCKNOW,KOLKATA,LUCKNOW,112430.0,433.9375,124.72399999999999,365
KOLKATA-MANGALORE,KOLKATA,MANGALORE,3308.0,1.967,0.0,365
KOLKATA-MUMBAI,KOLKATA,MUMBAI,732924.0,6321.92408,211.99716,365
KOLKATA-NAGPUR,KOLKATA,NAGPUR,44360.0,91.78800000000001,0.423,365
KOLKATA-PAKYONG,KOLKATA,PAKYONG,8945.0,0.057,0.0,273
KOLKATA-PASIGHAT,KOLKATA,PASIGHAT,0.0,0.0,0.0,304
KOLKATA-PATNA,KOLKATA,PATNA,115015.0,358.17508,260.26800000000003,365
KOLKATA-PORT BLAIR,KOLKATA,PORT BLAIR,198975.0,1575.00282,146.08754936170214,365
KOLKATA-PUNE,KOLKATA,PUNE,149326.0,948.97426,2.4250000000000003,365
KOLKATA-RAIPUR,KOLKATA,RAIPUR,88433.0,194.863,23.875,365
KOLKATA-RANCHI,KOLKATA,RANCHI,62585.0,21.306668,1.171918,365
KOLKATA-RUPSI,KOLKATA,RUPSI,15080.0,0.0,0.0,365
KOLKATA-SHILLONG,KOLKATA,SHILLONG,19752.0,4.93776,0.0,365
KOLKATA-SILCHAR,KOLKATA,SILCHAR,117961.0,779.81242,14.396,365
KOLKATA-SRINAGAR,KOLKATA,SRINAGAR,15679.0,6.223,0.002,365
KOLKATA-SURAT,KOLKATA,SURAT,62895.0,165.69035,0.116,365
KOLKATA-TEZPUR,KOLKATA,TEZPUR,0.0,0.0,0.0,304
KOLKATA-TRIVANDRUM,KOLKATA,TRIVANDRUM,4838.0,7.229,0.0,306
KOLKATA-UDAIPUR,KOLKATA,UDAIPUR,6269.0,0.732,0.0,304
KOLKATA-VARANASI,KOLKATA,VARANASI,52844.0,65.83,13.959,365
KOLKATA-VISAKHAPATNAM,KOLKATA,VISAKHAPATNAM,50451.0,45.16048,0.093,365
KOZHIKODE-BENGALURU,KOZHIKODE,BENGALURU,44587.0,1.18,0.0,365
KOZHIKODE-CHENNAI,KOZHIKODE,CHENNAI,24446.0,0.017,0.0,365
KOZHIKODE-COIMBATORE,KOZHIKODE,COIMBATORE,0.0,0.0,0.0,31
KOZHIKODE-DELHI,KOZHIKODE,DELHI,91781.0,21.349,0.0,365
KOZHIKODE-HYDERABAD,KOZHIKODE,HYDERABAD,21931.0,0.295,0.0,365
KOZHIKODE-KANNUR,KOZHIKODE,KANNUR,1015.0,0.005,0.0,365
KOZHIKODE-KOCHI,KOZHIKODE,KOCHI,0.0,0.0,0.0,31
KOZHIKODE-LUCKNOW,KOZHIKODE,LUCKNOW,0.0,0.0,0.0,31
KOZHIKODE-MUMBAI,KOZHIKODE,MUMBAI,76720.0,1.834,0.0,365
KOZHIKODE-TRIVANDRUM,KOZHIKODE,TRIVANDRUM,0.0,0.0,0.0,30
KULLU-CHANDIGARH,KULLU,CHANDIGARH,1298.0,0.0,0.0,365
KULLU-DELHI,KULLU,DELHI,3683.0,0.0020879999999999996,0.0,365
KULLU-SIMLA,KULLU,SIMLA,41.0,0.0,0.0,31
KURNOOL-BENGALURU,KURNOOL,BENGALURU,6234.0,0.0,0.0,365
KURNOOL-CHENNAI,KURNOOL,CHENNAI,5399.0,0.0,0.0,365
KURNOOL-VISAKHAPATNAM,KURNOOL,VISAKHAPATNAM,7709.0,0.0,0.0,365
Kushinagar International Airport-DELHI,Kushinagar International Airport,DELHI,13059.0,0.0,0.0,365
Kushinagar International Airport-KOLKATA,Kushinagar International Airport,KOLKATA,170.0,0.0,0.0,31
LEH-CHANDIGARH,LEH,CHANDIGARH,20420.0,1.206,0.0,365
LEH-DELHI,LEH,DELHI,431390.0,188.55425,0.0,365
LEH-JAIPUR,LEH,JAIPUR,20.0,0.0,0.0,31
LEH-JAMMU,LEH,JAMMU,56335.0,3.085,0.0,365
LEH-MUMBAI,LEH,MUMBAI,0.0,0.0,0.0,183
LEH-SRINAGAR,LEH,SRINAGAR,67949.0,225.73512,0.0,365
LILABARI-DIBRUGARH,LILABARI,DIBRUGARH,8.0,0.0,0.0,30
LILABARI-DIMAPUR,LILABARI,DIMAPUR,23.0,0.0,0.0,61
LILABARI-GUWAHATI,LILABARI,GUWAHATI,3059.0,0.0,0.0,243
LILABARI-KOLKATA,LILABARI,KOLKATA,12706.0,1.1099999999999999,0.0,365
LILABARI-PASIGHAT,LILABARI,PASIGHAT,3.0,0.0,0.0,61
LILABARI-SHILLONG,LILABARI,SHILLONG,95.0,0.0,0.0,92
LILABARI-TEZPUR,LILABARI,TEZPUR,16.0,0.0,0.0,61
LILABARI-ZIRO,LILABARI,ZIRO,23.0,0.0,0.0,30
LUCKNOW-AGARTALA,LUCKNOW,AGARTALA,94.0,0.0,0.0,59
LUCKNOW-AGRA,LUCKNOW,AGRA,5709.0,0.046,0.0,365
LUCKNOW-AHMEDABAD,LUCKNOW,AHMEDABAD,95527.0,92.27499999999999,18.218,365
LUCKNOW-ALLAHABAD,LUCKNOW,ALLAHABAD,8889.0,0.056999999999999995,0.0,306
LUCKNOW-AMRITSAR,LUCKNOW,AMRITSAR,13442.0,0.194,0.0,306
LUCKNOW-BENGALURU,LUCKNOW,BENGALURU,254910.0,948.29628,23.701,365
LUCKNOW-BHOPAL,LUCKNOW,BHOPAL,0.0,0.0,0.0,59
LUCKNOW-BHUBANESWAR,LUCKNOW,BHUBANESWAR,4882.0,0.297,0.0,307
LUCKNOW-CHANDIGARH,LUCKNOW,CHANDIGARH,40613.0,4.2749999999999995,3.768,365
LUCKNOW-CHENNAI,LUCKNOW,CHENNAI,44190.0,256.173,11.969999999999999,365
LUCKNOW-DABOLIM,LUCKNOW,DABOLIM,66505.0,30.797500000000003,0.111,365
LUCKNOW-DEHRA DUN,LUCKNOW,DEHRA DUN,45351.0,0.116,7.921,365
LUCKNOW-DELHI,LUCKNOW,DELHI,598845.0,1037.86781,191.60264041316978,365
LUCKNOW-DURGAPUR,LUCKNOW,DURGAPUR,0.0,0.0,0.0,31
LUCKNOW-GORAKHPUR,LUCKNOW,GORAKHPUR,4843.0,0.26,0.0,365
LUCKNOW-GUWAHATI,LUCKNOW,GUWAHATI,39446.0,22.568,1.1219999999999999,365
LUCKNOW-HYDERABAD,LUCKNOW,HYDERABAD,115154.0,270.39139,11.790000000000001,365
LUCKNOW-INDORE,LUCKNOW,INDORE,23568.0,0.073,0.0,365
LUCKNOW-JAIPUR,LUCKNOW,JAIPUR,21588.0,0.108,0.0,365
LUCKNOW-KOCHI,LUCKNOW,KOCHI,836.0,0.002,0.0,123
LUCKNOW-KOLKATA,LUCKNOW,KOLKATA,130103.0,355.97942,33.914,365
LUCKNOW-KOZHIKODE,LUCKNOW,KOZHIKODE,10.0,0.0,0.0,31
LUCKNOW-MUMBAI,LUCKNOW,MUMBAI,334814.0,873.76823,47.864,365
LUCKNOW-NAGPUR,LUCKNOW,NAGPUR,22492.0,0.225,0.002,365
LUCKNOW-PANTNAGAR,LUCKNOW,PANTNAGAR,4521.0,0.01,0.0,214
LUCKNOW-PATNA,LUCKNOW,PATNA,40708.0,35.0515,22.791,365
LUCKNOW-PUNE,LUCKNOW,PUNE,50778.0,268.98699999999997,0.824,365
LUCKNOW-RAIPUR,LUCKNOW,RAIPUR,15637.0,4.104,0.0,335
LUCKNOW-RANCHI,LUCKNOW,RANCHI,36548.0,24.616,2.871,365
LUCKNOW-SRINAGAR,LUCKNOW,SRINAGAR,5742.0,1.958,0.0,245
LUCKNOW-UDAIPUR,LUCKNOW,UDAIPUR,25.0,0.0,0.0,31
LUCKNOW-VARANASI,LUCKNOW,VARANASI,1732.0,9.6705,0.0,243
MADURAI-BENGALURU,MADURAI,BENGALURU,66944.0,59.041,8.563,365
MADURAI-CHENNAI,MADURAI,CHENNAI,166024.0,188.639,1.976,365
MADURAI-DELHI,MADURAI,DELHI,42092.0,368.345,0.0,337
MADURAI-HYDERABAD,MADURAI,HYDERABAD,51416.0,259.545,3.516,365
MADURAI-MUMBAI,MADURAI,MUMBAI,78373.0,296.96398,2.377,365
MADURAI-TIRUPATI,MADURAI,TIRUPATI,8765.0,20.897,0.0,365
MADURAI-VIJAYAWADA,MADURAI,VIJAYAWADA,1584.0,0.016,0.0,365
MANGALORE-BENGALURU,MANGALORE,BENGALURU,234493.0,15.492999999999999,519.648,365
MANGALORE-CHENNAI,MANGALORE,CHENNAI,22755.0,0.252,6.436,365
MANGALORE-COIMBATORE,MANGALORE,COIMBATORE,3154.0,45.6105,0.0,212
MANGALORE-DELHI,MANGALORE,DELHI,15920.0,3.104,84.121,306
MANGALORE-HUBLI,MANGALORE,HUBLI,4154.0,0.024,0.0,245
MANGALORE-HYDERABAD,MANGALORE,HYDERABAD,49045.0,0.179,10.600999999999999,365
MANGALORE-KANNUR,MANGALORE,KANNUR,177.0,0.0,0.0,59
MANGALORE-KOLKATA,MANGALORE,KOLKATA,4136.0,4.199,1.08,365
MANGALORE-MUMBAI,MANGALORE,MUMBAI,244287.0,84.0785,244.369,365
MANGALORE-PUNE,MANGALORE,PUNE,9225.0,0.061,17.766,276
MANGALORE-RAIPUR,MANGALORE,RAIPUR,35.0,0.0,0.0,31
MANGALORE-RANCHI,MANGALORE,RANCHI,232.0,0.002,5.136,92
MANGALORE-TRIVANDRUM,MANGALORE,TRIVANDRUM,0.0,0.0,0.0,31
MUMBAI-AGARTALA,MUMBAI,AGARTALA,287.0,0.14400000000000002,0.0,90
MUMBAI-AGRA,MUMBAI,AGRA,14789.0,1.407,0.0,307
MUMBAI-AHMEDABAD,MUMBAI,AHMEDABAD,728574.0,8596.28571,477.08768,365
MUMBAI-AIZAWL,MUMBAI,AIZAWL,1624.0,0.792,0.0,365
MUMBAI-AJMER,MUMBAI,AJMER,7943.0,0.003,0.0,273
MUMBAI-ALLAHABAD,MUMBAI,ALLAHABAD,46507.0,7.276,15.917,365
MUMBAI-AMRITSAR,MUMBAI,AMRITSAR,163248.0,181.88797,10.058839458413926,365
MUMBAI-AURANGABAD,MUMBAI,AURANGABAD,83214.0,56.190000000000005,88.5240515970516,365
MUMBAI-BAGDOGRA,MUMBAI,BAGDOGRA,103639.0,648.23144,24.0205,365
MUMBAI-BAREILLY,MUMBAI,BAREILLY,30907.0,2.732,0.0,365
MUMBAI-BELGAUM,MUMBAI,BELGAUM,28778.0,54.63861,0.0,365
MUMBAI-BENGALURU,MUMBAI,BENGALURU,1548151.0,16326.94394,397.66512000000006,365
MUMBAI-BHAVNAGAR,MUMBAI,BHAVNAGAR,19090.0,28.797690000000003,0.0,365
MUMBAI-BHOPAL,MUMBAI,BHOPAL,144941.0,625.3894,200.307,365
MUMBAI-BHUBANESWAR,MUMBAI,BHUBANESWAR,233778.0,1496.21012,273.38748,365
MUMBAI-BHUJ,MUMBAI,BHUJ,13893.0,7.58997,0.0,365
MUMBAI-CHANDIGARH,MUMBAI,CHANDIGARH,422360.0,1957.2886899999999,116.88501,365
MUMBAI-CHENNAI,MUMBAI,CHENNAI,892587.0,6515.45287,406.1181537470726,365
MUMBAI-COIMBATORE,MUMBAI,COIMBATORE,185218.0,1478.44923,78.7744,365
MUMBAI-DABOLIM,MUMBAI,DABOLIM,1013091.0,1708.384051,95.41743,365
MUMBAI-DARBHANGA,MUMBAI,DARBHANGA,74133.0,247.71002999999996,0.0,365
MUMBAI-DEHRA DUN,MUMBAI,DEHRA DUN,169348.0,155.5826,28.773,365
MUMBAI-DELHI,MUMBAI,DELHI,2506249.0,29327.51124,900.301902027667,365
MUMBAI-DIBRUGARH,MUMBAI,DIBRUGARH,5970.0,3.121,0.0,365
MUMBAI-DIMAPUR,MUMBAI,DIMAPUR,1806.0,0.14300000000000002,0.0,365
MUMBAI-DIU,MUMBAI,DIU,18551.0,0.62345,0.0,365
MUMBAI-DURGAPUR,MUMBAI,DURGAPUR,42912.0,54.84415,0.0,365
MUMBAI-GAYA,MUMBAI,GAYA,1209.0,0.0,0.0,184
MUMBAI-GORAKHPUR,MUMBAI,GORAKHPUR,101116.0,200.94864,20.076999999999998,365
MUMBAI-GUWAHATI,MUMBAI,GUWAHATI,143603.0,1430.0414799999999,110.19759,365
MUMBAI-GWALIOR,MUMBAI,GWALIOR,14401.0,30.35205,0.0,365
MUMBAI-HUBLI,MUMBAI,HUBLI,22457.0,0.622,5.577,365
MUMBAI-HYDERABAD,MUMBAI,HYDERABAD,747730.0,10278.01176,280.32254238195173,365
"MUMBAI-Hollongi Airport, Itanagar",MUMBAI,"Hollongi Airport, Itanagar",164.0,0.0,0.0,31
MUMBAI-IMPHAL,MUMBAI,IMPHAL,6237.0,9.573,0.0,365
MUMBAI-INDORE,MUMBAI,INDORE,259187.0,1239.903,202.986658259773,365
MUMBAI-ITANAGAR,MUMBAI,ITANAGAR,17.0,0.0,0.0,30
