economic_pca1,economic_pca2,tourism_pca1,tourism_pca2,education_pca1,education_pca2,population_pca1,population_pca2,City
0.0,0.0,-0.393238668811926,-0.1929884225859365,1.0906518123278695,-0.37379625823504453,1.4484886757104043,0.2774271506702628,Ahmedabad
1.2566378307866397,0.0,0.216933382873203,-0.1393593260273906,7.626421480038393,-0.9046283076471208,3.967028068555353,-0.41833150465916674,Bengaluru
3.3830433036329146,0.0,1.3725627720646465,-0.9818543058655201,9.061050126127354,0.07707820863071108,4.605747741379187,3.7874059016051573,Mumbai
1.2446792732490066,0.0,0.04772889259499498,-0.2789483460227763,4.4998924473479995,-1.2680112993350505,3.4045653197321495,-2.14360123554958,Pune
-0.42715838019003083,0.0,1.1212873736784077,3.7795229785306668,0.033500474046338616,0.5092946106407462,-0.31551390780870536,2.618435420515714,Chennai
0.06830509685608584,0.0,-0.2540037532729719,-0.03902389231005462,-1.8843915968641336,0.2804212810823507,-0.7274737560480545,2.274164959222998,Hyderabad
-0.13729599117693417,0.0,-0.8079142831746069,-0.022869592661302625,-0.15155689433804426,2.172672164602736,-0.4842929808430208,2.4881255103549362,Kolkata
0.0,0.0,4.495715085474563,-0.24779571978040316,14.69128150818081,0.8772211863384229,-2.779734857605348,1.860177947681868,Delhi
-0.06071686755903303,0.0,-1.3480285293361807,0.22878663879535144,-2.645442154008883,-0.8550901010564995,0.3888936880332569,-3.060868262465565,Visakhapatnam
-0.677174420631096,0.0,-0.578453005855406,-0.2266175422037134,-5.184574792756428,0.45385056118031036,-2.526520238539845,0.17045656921593158,Guwahati
-0.7558215606513818,0.0,0.19752155621446854,-0.5259724917918965,-1.7014719284611977,-0.5017509641977626,0.3984778225905323,-1.186046295875345,Patna
-0.6192980461454155,0.0,-1.0601032011015308,0.05696734385783911,-3.5314320379904545,-0.7361759418416118,0.0034363000167190547,-2.40948087907119,Raipur
-0.2570320269499214,0.0,-0.9509704893223045,0.055347420410237,-2.9529008743791234,0.04315062991576545,-1.0815225856326236,-0.3909685092276676,Thiruvananthapuram
-0.6516870382369789,0.0,1.3888594852056533,-1.0897118542684512,-4.082845206896853,0.2874190701891931,-1.8518765106608162,0.29471782623510967,Bhopal
-0.585094179876277,0.0,-0.24144175099854384,-0.24560104425225301,-4.241804800635499,0.07053748993754995,-1.5399441768330768,-1.4845907586893303,Bhubaneswar
-0.5502847757390965,0.0,-1.0955114494555243,0.07530087141845279,-4.438676368393608,-0.18346247394825352,-1.6564942304388026,-0.3992374725966721,Amritsar
-0.13024870450584744,0.0,-0.35626190663773005,-0.1627076858198365,-0.15345682981685485,-0.8034919726954555,1.2825168715546962,-1.697297017405017,Jaipur
-0.4007423614460368,0.0,-0.8386591739086885,-0.03843808707027458,-1.4420926946665293,0.47381471363166694,-0.4954503474896536,0.15402838458383236,Lucknow
-0.7001111514165953,0.0,-0.9160223362305236,-0.004036942352737648,-4.592151668861152,0.3809474028073465,-2.0403308956723567,-0.7345177345462734,Dehradun
