city,pop2023,latitude,longitude
Hugli,177005,22.9088,88.3967
Hyderabad,6809970,17.3841,78.4564
Ichalkaranji,274383,16.6912,74.4605
Imphal,223523,24.8081,93.9442
Indore,1837041,22.7179,75.8333
Ingraj Bazar,170039,25.0045,88.1457
Jabalpur,1030168,23.167,79.9501
Jaigaon,158664,26.8477,89.3756
Jaipur,2711758,26.9196,75.7878
Jalandhar,785178,31.3256,75.5792
Jalgaon,429298,21.0029,75.566
Jalna,262034,19.841,75.8864
Jammu,465567,32.7357,74.8691
Jamnagar,492056,22.4729,70.0667
Jamshedpur,1339438,22.8028,86.1854
Jamuria,160242,23.7047,87.0787
Jaunpur,169572,25.7536,82.6869
Jetpur,118068,21.7548,70.6235
Jhansi,412927,25.4589,78.5799
Jind,161260,29.3158,76.315
Jodhpur,921476,26.2684,73.0059
Junagadh,184447,21.5197,70.4598
Kaithal,140604,29.8015,76.3996
Kakinada,292923,16.9604,82.2381
Kallakurichi,1682687,11.7338,78.9593
Kalyan,1262255,19.2437,73.1355
Kamarhati,332965,22.6711,88.3747
Kanchipuram,221715,12.8351,79.7001
Kanchrapara,136954,22.96,88.4285
Kanpur,2823249,26.4652,80.3497
Karaikkudi,181851,10.0661,78.7678
Karimnagar,228745,18.4391,79.1286
Karnal,225049,29.692,76.9845
Karol Bagh,505241,28.6514,77.1907
Karur,234191,10.9577,78.0809
Katihar,192555,25.5385,87.5704
Khammam,170503,17.2477,80.1437
Khandwa,182841,21.8243,76.3509
Khanna,117137,30.7055,76.222
Kharagpur,219665,22.3397,87.325
Khardah,128346,22.7186,88.3781
Kishangarh,131749,26.5901,74.854
Kolar,126441,13.1377,78.13
Kolhapur,516142,16.6956,74.2317
Kolkata,4631392,22.5626,88.363
Kollam,367107,8.88113,76.5847
Korba,419146,22.3458,82.6963
Kota,763088,25.1825,75.8391
Kozhikode,550440,11.248,75.7804
Krishnanagar,145926,23.4058,88.4907
Kukatpalli,341709,17.4849,78.4138
Kulti,305405,23.7317,86.8437
Kumarapalayam,195071,11.445,77.711
Kumbakonam,167155,10.9621,79.3912
Kurnool,460184,15.8289,78.036
Lakhimpur,140223,27.9482,80.7794
Lal Bahadur Nagar,261987,17.3477,78.5576
Lalitpur,126475,24.6901,78.4192
Latur,348967,18.3972,76.5678
Loni,164810,28.7514,77.2902
Lucknow,2472011,26.8393,80.9231
Ludhiana,1545368,30.912,75.8538
Machilipatnam,192827,16.1875,81.1389
Madhyamgram,161126,22.6894,88.4459
Madurai,1465625,9.919,78.1195
Mahbubnagar,136135,16.7439,77.986
Maheshtala,448317,22.5086,88.2532
Malegaon,435362,20.5497,74.5346
Maler Kotla,113840,30.5309,75.8795
Malkajgiri,150000,17.4478,78.5263
Mandsaur,124988,24.0718,75.0699
Mandya,134845,12.5223,76.8975
Mangalore,417387,12.9172,74.856
Mathura,330511,27.5035,77.6721
Mau,246050,25.9417,83.5611
Medinipur,153349,22.4211,87.3226
Meerut,1223184,28.98,77.7064
Mirzapur,220029,25.1449,82.5653
Moga,130549,30.8138,75.1688
Mohali,123484,30.68,76.7221
Monghyr,203163,25.3746,86.4745
Moradabad,721139,28.8389,78.7768
Morbi,118022,22.8173,70.8377
Morena,152004,26.4989,77.9953
Mulugu,297671,18.191,79.943
Mumbai,12691836,19.0728,72.8826
Murwara,195856,23.8378,80.3941
Muzaffarnagar,349706,29.4709,77.7033
Muzaffarpur,333200,26.1226,85.3905
Mysore,868313,12.2979,76.6393
Nadiad,202067,22.6938,72.8616
Nagercoil,224849,8.17899,77.4323
Nagpur,2228018,21.1463,79.0849
Naihati,253221,22.894,88.4152
Najafgarh,1365000,28.6092,76.9798
Nalgonda,121826,17.0544,79.2671
Nanded,550564,19.1602,77.315
Nandyal,165337,15.478,78.4836
Nangloi Jat,194363,28.6796,77.068
Narela,800000,28.8527,77.0929
Nashik,1289497,19.9973,73.791
Navi Mumbai,2600000,19.0368,73.0158
Navsari,171109,20.9424,72.9247
Nellore,404158,14.4499,79.987
