Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,136773.0,140732.0
2024,185935.1138888888,138229.91944444447
2025,182474.34722222213,139317.78611111117
2026,434720.48055555555,386148.4472222221
2027,480746.4472222221,430226.5472222222
2028,452181.486111111,430226.5472222222
2029,452181.486111111,430226.5472222222
2030,536282.8305555554,513029.90277777764
