Year,AdjustedForecastedDemand_InTraffic,AdjustedForecastedDemand_OutTraffic
2023,116381.0,104130.0
2024,118219.15865079366,99123.65588336787
2025,117399.74753968255,110506.90588336784
2026,108795.96420634922,110406.66071428568
2027,118116.22809523807,114439.79126984125
2028,115698.2114285714,112311.49126984124
