20-24_TotalPopulation,20-24_TotalMalePopulation,20-24_TotalFemalePopulation,20-24_Graduates,20-24_MaleGraduates,20-24_FemaleGraduates,25-29_TotalPopulation,25-29_TotalMalePopulation,25-29_TotalFemalePopulation,25-29_Graduates,25-29_MaleGraduates,25-29_FemaleGraduates,30-34_TotalPopulation,30-34_TotalMalePopulation,30-34_TotalFemalePopulation,30-34_Graduates,30-34_MaleGraduates,30-34_FemaleGraduates,35-59_TotalPopulation,35-59_TotalMalePopulation,35-59_TotalFemalePopulation,35-59_Graduates,35-59_MaleGraduates,35-59_FemaleGraduates,60+_TotalPopulation,60+_TotalMalePopulation,60+_TotalFemalePopulation,60+_Graduates,60+_MaleGraduates,60+_FemaleGraduates,District,State,Year
418508,217755,200753,85291,48290,37001,364879,182568,182311,94512,55267,39245,282272,147049,135223,68879,42133,26746,889165,475559,413606,186022,130304,55718,224487,111614,112873,30710,25650,5060,HYDERABAD,ANDHRA PRADESH,2001
414782,203305,211477,107265,53730,53535,396862,192865,203997,121118,63298,57820,332567,169446,163121,89689,51125,38564,1011413,529380,482033,225901,140066,85835,266932,136046,130886,51530,38096,13434,HYDERABAD,ANDHRA PRADESH,2011
266681,129765,136916,8110,6180,1930,255598,122530,133068,9440,7620,1820,207370,103910,103460,5890,5160,730,702878,364325,338553,13040,12270,770,241235,121976,119259,430,420,10,KARIMNAGAR,ANDHRA PRADESH,1991
311287,154440,156847,18558,13345,5213,306374,145349,161025,18765,14031,4734,254564,126613,127951,13324,10560,2764,865028,436911,428117,28167,24798,3369,310858,152239,158619,2078,1972,106,KARIMNAGAR,ANDHRA PRADESH,2001
358220,180718,177502,71979,41740,30239,329808,162750,167058,58893,38545,20348,282262,138442,143820,29930,20839,9091,1049345,519227,530118,52585,41920,10665,428622,201116,227506,6318,5709,609,KARIMNAGAR,ANDHRA PRADESH,2011
196482,93903,102579,7670,5330,2340,195824,92904,102920,10050,7460,2590,156450,80348,76102,6464,5152,1312,477096,251032,226064,12231,10891,1340,140192,72942,67250,420,390,30,KHAMMAM,ANDHRA PRADESH,1991
241516,118277,123239,16496,11155,5341,239954,115727,124227,16376,11183,5193,191899,98873,93026,12385,8923,3462,603201,309255,293946,25758,20857,4901,190614,93886,96728,1822,1640,182,KHAMMAM,ANDHRA PRADESH,2001
280062,137324,142738,47291,27656,19635,269771,131406,138365,40423,25896,14527,222253,110517,111736,22370,14988,7382,756557,374231,382326,45476,33268,12208,273728,129870,143858,4641,3940,701,KHAMMAM,ANDHRA PRADESH,2011
344317,166421,177896,25750,15230,10520,335547,160478,175069,23759,15559,8200,268912,139720,129192,16222,12010,4212,857719,446114,411605,31435,26136,5299,260708,132430,128278,2690,2360,330,KRISHNA,ANDHRA PRADESH,1991
390474,195605,194869,38109,22868,15241,374857,177843,197014,38700,23312,15388,323329,163744,159585,30296,19818,10478,1084217,554839,529378,62811,47636,15175,327945,160387,167558,7030,6411,619,KRISHNA,ANDHRA PRADESH,2001
439514,216455,223059,71755,39324,32431,417421,205635,211786,66046,38880,27166,349438,174950,174488,43048,25882,17166,1306494,654196,652298,111244,74135,37109,462657,220780,241877,16521,13343,3178,KRISHNA,ANDHRA PRADESH,2011
253360,125100,128260,12900,8830,4070,247932,119388,128544,11639,9250,2389,198291,103523,94768,7050,5860,1190,644285,333549,310736,16551,14571,1980,178097,84371,93726,1070,990,80,KURNOOL,ANDHRA PRADESH,1991
309309,156270,153039,22879,15757,7122,306552,146024,160528,22997,15884,7113,253052,130812,122240,17609,13305,4304,812899,416452,396447,34461,28876,5585,228821,102418,126403,3148,2897,251,KURNOOL,ANDHRA PRADESH,2001
395011,198891,196120,53339,33446,19893,368722,179175,189547,46587,30274,16313,307527,154862,152665,29066,19578,9488,1029067,518990,510077,64126,48641,15485,326051,146412,179639,7446,6450,996,KURNOOL,ANDHRA PRADESH,2011
239955,116045,123910,7020,5050,1970,244958,117356,127602,7720,6480,1240,201357,101740,99617,4800,4220,580,666798,342462,324336,12335,11750,585,212587,107857,104730,620,590,30,MAHBUBNAGAR,ANDHRA PRADESH,1991
301773,152306,149467,14362,9867,4495,294159,140526,153633,15872,11249,4623,239474,121500,117974,11567,9046,2521,799904,404980,394924,23732,20977,2755,256642,120705,135937,1958,1838,120,MAHBUBNAGAR,ANDHRA PRADESH,2001
372870,190816,182054,43903,27582,16321,369235,179334,189901,39331,25262,14069,304471,152917,151554,22920,15310,7610,1004051,504176,499875,43999,34317,9682,356433,166999,189434,5696,5052,644,MAHBUBNAGAR,ANDHRA PRADESH,2011
183422,90885,92537,5020,3650,1370,184512,88001,96511,6060,5240,820,151160,76145,75015,3687,3130,557,507204,261071,246133,9180,8350,830,172718,86853,85865,460,440,20,MEDAK,ANDHRA PRADESH,1991
229248,116746,112502,11190,7659,3531,227240,109393,117847,12105,8650,3455,188420,95889,92531,9337,7374,1963,621710,316610,305100,17479,15163,2316,209526,98217,111309,1452,1346,106,MEDAK,ANDHRA PRADESH,2001
292001,147147,144854,38498,23245,15253,283548,139815,143733,36055,23267,12788,229396,115670,113726,20203,13805,6398,760770,380285,380485,35041,27457,7584,298940,139541,159399,4240,3843,397,MEDAK,ANDHRA PRADESH,2011
240705,117529,123176,10409,7999,2410,231953,111611,120342,10116,8766,1350,191342,97410,93932,5300,4590,710,630499,327241,303258,11970,11080,890,210028,109718,100310,520,460,60,NALGONDA,ANDHRA PRADESH,1991
287604,145501,142103,21470,15425,6045,274378,132732,141646,21846,16496,5350,221678,113060,108618,15182,12417,2765,766096,388675,377421,25231,22240,2991,269816,135261,134555,1781,1685,96,NALGONDA,ANDHRA PRADESH,2001
342001,174642,167359,56076,35337,20739,323096,160488,162608,51298,35027,16271,257516,130050,127466,28701,20381,8320,903910,446324,457586,50092,40191,9901,387459,187888,199571,4985,4489,496,NALGONDA,ANDHRA PRADESH,2011
211158,101075,110083,12070,7860,4210,212853,101060,111793,10530,7670,2860,172858,87923,84935,6980,5150,1830,585069,301652,283417,14480,12490,1990,169808,83897,85911,1140,1050,90,NELLORE,ANDHRA PRADESH,1991
245696,121952,123744,21100,13138,7962,239574,114172,125402,21173,13762,7411,199925,101232,98693,15773,11191,4582,715507,364366,351141,31927,25414,6513,215614,101338,114276,2996,2682,314,NELLORE,ANDHRA PRADESH,2001
175255,84113,91142,5640,4340,1300,171182,81230,89952,6130,5120,1010,140421,68902,71519,4200,3510,690,460900,231004,229896,9390,8500,890,147379,69099,78280,320,300,20,NIZAMABAD,ANDHRA PRADESH,1991
209790,102273,107517,11699,8161,3538,207716,97124,110592,11695,8522,3173,174529,86435,88094,9017,7222,1795,564874,281180,283694,18264,15981,2283,176141,78057,98084,1177,1102,75,NIZAMABAD,ANDHRA PRADESH,2001
238689,116429,122260,33968,19709,14259,226622,109245,117377,28547,18138,10409,194416,94357,100059,16235,11125,5110,668815,326564,342251,31409,24778,6631,250743,109115,141628,3593,3164,429,NIZAMABAD,ANDHRA PRADESH,2011
228585,111498,117087,12660,8970,3690,229060,109175,119885,10947,8727,2220,189299,97347,91952,6770,5790,980,651262,332942,318320,12897,11771,1126,222354,111912,110442,950,920,30,PRAKASAM,ANDHRA PRADESH,1991
272761,138508,134253,22461,15843,6618,256287,123541,132746,22125,15724,6401,217537,109929,107608,16312,12463,3849,784864,396959,387905,29095,24640,4455,272014,131028,140986,2425,2282,143,PRAKASAM,ANDHRA PRADESH,2001
320805,162548,158257,47554,30170,17384,310642,152531,158111,44141,29578,14563,260979,132587,128392,27171,18899,8272,933722,464470,469252,56469,43409,13060,364397,172746,191651,5999,5401,598,PRAKASAM,ANDHRA PRADESH,2011
228876,115262,113614,17310,10160,7150,228679,111687,116992,21050,14270,6780,179418,94221,85197,15490,11310,4180,542414,289713,252701,36020,29780,6240,150077,75017,75060,2490,2310,180,RANGAREDDI,ANDHRA PRADESH,1991
358817,182578,176239,50948,29615,21333,353092,173342,179750,58436,35000,23436,273529,144330,129199,42679,28149,14530,827481,439576,387905,96470,72129,24341,222366,107842,114524,10929,9603,1326,RANGAREDDI,ANDHRA PRADESH,2001
534397,258192,276205,128327,67151,61176,559687,270446,289241,159451,85252,74199,459760,240584,219176,120285,72377,47908,1354294,708793,645501,243476,161729,81747,379847,190111,189736,40177,31855,8322,RANGAREDDY,ANDHRA PRADESH,2011
