20-24_TotalPopulation,20-24_TotalMalePopulation,20-24_TotalFemalePopulation,20-24_Graduates,20-24_MaleGraduates,20-24_FemaleGraduates,25-29_TotalPopulation,25-29_TotalMalePopulation,25-29_TotalFemalePopulation,25-29_Graduates,25-29_MaleGraduates,25-29_FemaleGraduates,30-34_TotalPopulation,30-34_TotalMalePopulation,30-34_TotalFemalePopulation,30-34_Graduates,30-34_MaleGraduates,30-34_FemaleGraduates,35-59_TotalPopulation,35-59_TotalMalePopulation,35-59_TotalFemalePopulation,35-59_Graduates,35-59_MaleGraduates,35-59_FemaleGraduates,60+_TotalPopulation,60+_TotalMalePopulation,60+_TotalFemalePopulation,60+_Graduates,60+_MaleGraduates,60+_FemaleGraduates,District,State,Year
150923,78498,72425,8474,4699,3775,125041,64617,60424,12767,8281,4486,109567,55091,54476,10633,7842,2791,380460,191298,189162,19988,16725,3263,154043,70702,83341,2380,2251,129,JANJGIR  CHAMPA,CHHATTISGARH,2011
50675,24581,26094,2736,1740,996,52351,25351,27000,3680,2718,962,53289,24900,28389,2432,1903,529,189016,95752,93264,4706,4022,684,62128,29732,32396,225,194,31,JASHPUR,CHHATTISGARH,2001
75792,37015,38777,2878,1399,1479,64924,32801,32123,5052,2766,2286,55545,27205,28340,4697,3100,1597,227478,114064,113414,10533,8290,2243,79532,37819,41713,791,678,113,JASHPUR,CHHATTISGARH,2011
74609,37283,37326,2461,1478,983,62870,31952,30918,3405,2318,1087,57616,27987,29629,2999,2202,797,190072,96294,93778,5776,4690,1086,58683,26945,31738,429,394,35,KABEERDHAM,CHHATTISGARH,2011
52180,25700,26480,2056,1364,692,50914,25167,25747,2706,2037,669,47367,22786,24581,2095,1634,461,155627,79301,76326,4082,3476,606,46706,20713,25993,177,164,13,KANKER,CHHATTISGARH,2001
44952,21211,23741,1208,859,349,45552,22100,23452,1740,1370,370,43400,21025,22375,1485,1222,263,125003,62991,62012,2211,1960,251,42604,19371,23233,105,104,1,KAWARDHA,CHHATTISGARH,2001
80250,40959,39291,6190,3818,2372,78484,39051,39433,7234,4865,2369,77392,38097,39295,6207,4199,2008,238724,124963,113761,13457,10323,3134,59574,26923,32651,522,464,58,KORBA,CHHATTISGARH,2001
121363,61440,59923,10686,5428,5258,103287,53626,49661,14064,8233,5831,86470,44015,42455,10179,6658,3521,308781,159041,149740,23562,16950,6612,81187,37258,43929,1594,1318,276,KORBA,CHHATTISGARH,2011
47674,24047,23627,2379,1366,1013,44721,22653,22068,3062,2017,1045,42090,20946,21144,2855,2046,809,139771,73739,66032,5859,4713,1146,35203,17046,18157,217,193,24,KORIYA,CHHATTISGARH,2001
65971,33317,32654,4204,2065,2139,55078,28340,26738,5272,3101,2171,45982,23018,22964,3961,2481,1480,168369,86839,81530,10213,7588,2625,44744,21274,23470,659,567,92,KORIYA,CHHATTISGARH,2011
65867,32194,33673,3251,2211,1040,66046,32757,33289,4147,3163,984,65209,30852,34357,3146,2421,725,212136,106314,105822,6660,5578,1082,74495,32697,41798,350,317,33,MAHASAMUND,CHHATTISGARH,2001
90455,45250,45205,4591,2484,2107,76826,38471,38355,6141,3932,2209,72223,34516,37707,5117,3602,1515,279566,139503,140063,12015,9977,2038,98046,44474,53572,1206,1096,110,MAHASAMUND,CHHATTISGARH,2011
12454,5890,6564,349,182,167,11339,5953,5386,704,472,232,9542,4889,4653,554,411,143,32309,16467,15842,917,738,179,6472,2769,3703,54,47,7,NARAYANPUR,CHHATTISGARH,2011
97437,48258,49179,6106,4065,2041,100284,49814,50470,7248,5322,1926,100524,48684,51840,5546,4385,1161,316083,161490,154593,10747,9187,1560,106543,48866,57677,689,624,65,RAIGARH,CHHATTISGARH,2001
137385,68385,69000,9206,4703,4503,119857,61014,58843,12942,7619,5323,109396,53642,55754,11207,7524,3683,401967,203933,198034,23553,18589,4964,140382,64942,75440,2258,2012,246,RAIGARH,CHHATTISGARH,2011
255839,128838,127001,21450,12561,8889,244632,123301,121331,27681,17674,10007,221018,110214,110804,21529,14720,6809,664822,339462,325360,46409,34576,11833,215272,96637,118635,4616,3965,651,RAIPUR,CHHATTISGARH,2001
387787,194390,193397,32055,15972,16083,342121,173600,168521,44553,24505,20048,300993,150199,150794,39286,23610,15676,999977,510438,489539,96186,65606,30580,297369,137060,160309,12819,10165,2654,RAIPUR,CHHATTISGARH,2011
105066,51037,54029,5148,3041,2107,101524,49919,51605,7389,4946,2443,94726,46010,48716,6009,4253,1756,296219,147389,148830,12062,9266,2796,96664,42603,54061,900,782,118,RAJNANDGAON,CHHATTISGARH,2001
144827,72579,72248,6986,3709,3277,120024,61638,58386,9767,5771,3996,110235,53618,56617,8373,5240,3133,407003,204138,202865,21856,15988,5868,120248,53747,66501,2356,1985,371,RAJNANDGAON,CHHATTISGARH,2011
148634,71112,77522,6054,3990,2064,151052,74738,76314,8077,5789,2288,145110,70690,74420,6345,4793,1552,456926,237237,219689,12001,10015,1986,141869,70635,71234,734,667,67,SURGUJA,CHHATTISGARH,2001
207910,101989,105921,9577,4792,4785,180484,91498,88986,12943,7582,5361,157419,77648,79771,10741,7186,3555,564647,287904,276743,24562,18804,5758,194926,96359,98567,1946,1677,269,SURGUJA,CHHATTISGARH,2011
72327,35443,36884,2584,1345,1239,61435,31237,30198,3888,2315,1573,52959,26543,26416,3404,2348,1056,201615,101338,100277,8384,6642,1742,56479,25174,31305,604,549,55,UTTAR BASTAR KANKER,CHHATTISGARH,2011
27032,16762,10270,1236,725,511,25146,15557,9589,2628,1747,881,18006,10441,7565,1793,1332,461,43663,23958,19705,2151,1666,485,8814,3882,4932,82,69,13,DADRA  NAGAR HAVELI,DADRA  NAGAR HAVELI,2001
44301,27595,16706,3075,1782,1293,39885,23496,16389,4410,2565,1845,30641,17957,12684,3914,2343,1571,73701,41828,31873,7382,5229,2153,13892,6359,7533,370,294,76,DADRA  NAGAR HAVELI,DADRA  NAGAR HAVELI,2011
13637,6857,6780,336,212,124,12945,6811,6134,507,353,154,10375,5447,4928,364,264,100,28433,15072,13361,563,453,110,5943,2729,3214,20,18,2,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,1991
20686,15624,5062,865,522,343,16405,11328,5077,1647,1113,534,10428,6901,3527,1140,850,290,22060,12784,9276,1635,1277,358,5060,2213,2847,103,90,13,DAMAN,DAMAN  DIU,2001
33692,25405,8287,1589,904,685,28606,19779,8827,2499,1520,979,19864,13241,6623,2021,1270,751,40951,25927,15024,4274,3015,1259,7481,3443,4038,346,276,70,DAMAN,DAMAN  DIU,2011
4148,1986,2162,146,91,55,3569,1641,1928,204,139,65,3009,1387,1622,164,124,40,8913,3883,5030,297,261,36,2982,1109,1873,8,7,1,DIU,DAMAN  DIU,2001
4892,2520,2372,437,277,160,4575,2265,2310,521,352,169,4167,2073,2094,319,203,116,13484,6583,6901,724,540,184,3880,1430,2450,60,60,0,DIU,DAMAN  DIU,2011
72151,40973,31178,12206,5813,6393,61734,34524,27210,13737,7209,6528,49466,26980,22486,10752,5771,4981,159002,87459,71543,37521,22145,15376,40783,20018,20765,5304,3989,1315,CENTRAL,DELHI,2001
149295,83335,65960,33093,16395,16698,146048,78773,67275,46611,23999,22612,124210,67254,56956,40669,22482,18187,350841,192000,158841,101925,63121,38804,85566,43990,41576,15314,11981,3333,EAST,DELHI,2001
19138,10939,8199,4142,2078,2064,17482,9860,7622,4649,2548,2101,14534,8168,6366,3495,1964,1531,50616,29418,21198,15789,9491,6298,7125,3558,3567,1801,1228,573,NEW DELHI,DELHI,2001
82796,47371,35425,14819,7642,7177,73395,40617,32778,16403,9092,7311,61954,33861,28093,12685,7076,5609,189129,105913,83216,39018,24245,14773,44180,22043,22137,4370,3501,869,NORTH,DELHI,2001
172090,95907,76183,19967,10373,9594,155785,81926,73859,25254,14055,11199,136651,72223,64428,21132,13110,8022,371836,206024,165812,50290,36166,14124,71560,36866,34694,4332,3830,502,NORTH EAST,DELHI,2001
283767,162064,121703,48364,24160,24204,269279,145635,123644,60717,31672,29045,237199,127356,109843,52608,28758,23850,666327,373494,292833,149395,92006,57389,141926,72915,69011,18054,14559,3495,NORTH WEST,DELHI,2001
241935,141108,100827,46433,25298,21135,240624,135102,105522,61472,35084,26388,196003,110322,85681,48430,28865,19565,520969,297020,223949,140981,85279,55702,112729,57257,55472,27826,19414,8412,SOUTH,DELHI,2001
189018,109732,79286,34896,18644,16252,186891,105056,81835,45284,25896,19388,155926,88036,67890,35505,21798,13707,415594,239394,176200,98693,64833,33860,78138,39815,38323,13067,9826,3241,SOUTH WEST,DELHI,2001
216670,123177,93493,43960,20823,23137,207687,113225,94462,56638,28052,28586,179033,97161,81872,49542,26099,23443,523688,287437,236251,149766,86104,63662,137643,70004,67639,23097,17977,5120,WEST,DELHI,2001
982866,538191,444675,169108,82772,86336,956788,517180,439608,203103,108233,94870,778413,435107,343306,181810,106271,75539,2031502,1160744,870758,408960,276168,132792,439520,236969,202551,48253,40862,7391,DELHI DISTRICT,DELHI DISTRICT,1991
74714,39745,34969,4835,2472,2363,61556,31811,29745,5206,2768,2438,51166,27135,24031,4825,3000,1825,165796,84838,80958,9416,6898,2518,47658,20642,27016,724,599,125,NORTH GOA,GOA,1991
81441,43621,37820,9559,4364,5195,79457,41311,38146,11794,5933,5861,67442,35356,32086,9080,4818,4262,212490,109113,103377,23570,14819,8751,65506,29055,36451,2854,2143,711,NORTH GOA,GOA,2001
72667,39675,32992,12909,5553,7356,74127,38299,35828,15399,6968,8431,71992,36543,35449,12855,6024,6831,269641,136673,132968,37772,20992,16780,93935,42951,50984,7282,5008,2274,NORTH GOA,GOA,2011
53400,27649,25751,4198,1838,2360,46973,23172,23801,4408,2213,2195,39512,20448,19064,3892,2278,1614,125983,65658,60325,7922,5682,2240,34849,15095,19754,633,532,101,SOUTH GOA,GOA,1991
60575,32031,28544,6838,2663,4175,59157,29434,29723,8818,3839,4979,50102,25948,24154,6960,3640,3320,161462,82208,79254,16830,10293,6537,46767,20621,26146,1853,1359,494,SOUTH GOA,GOA,2001
58078,30941,27137,9341,3733,5608,58499,29445,29054,11400,4848,6552,53867,26928,26939,8972,3938,5034,202050,101042,101008,26161,13748,12413,69560,31364,38196,4603,3187,1416,SOUTH GOA,GOA,2011
484070,249094,234976,45310,23670,21640,429945,216085,213860,54680,32450,22230,391953,201666,190287,51050,32160,18890,1096407,600219,496188,116280,86380,29900,271001,135162,135839,10270,9140,1130,AHMADABAD,GUJARAT,1991
587367,309671,277696,78511,40245,38266,508551,260729,247822,88384,46888,41496,474127,243300,230827,70330,40074,30256,1500692,796520,704172,214961,143019,71942,385613,185733,199880,27561,21808,5753,AHMADABAD,GUJARAT,2001
710749,369470,341279,120972,63404,57568,677015,348185,328830,151108,78034,73074,604131,310939,293192,121282,63900,57382,2060314,1069387,990927,351273,209047,142226,577602,283813,293789,71327,52060,19267,AHMADABAD,GUJARAT,2011
113200,55688,57512,2410,1310,1100,92993,46540,46453,2660,2140,520,82878,40717,42161,2130,1720,410,256683,132786,123897,3900,3430,470,89089,40990,48099,210,210,0,AMRELI,GUJARAT,1991
116761,57985,58776,4449,2204,2245,95533,47554,47979,4232,2527,1705,97622,47486,50136,3143,2156,987,330388,169309,161079,7622,6228,1394,123214,55862,67352,578,505,73,AMRELI,GUJARAT,2001
141186,69727,71459,10978,5248,5730,114090,58426,55664,8914,4933,3981,106817,54116,52701,5250,3081,2169,406334,208121,198213,12468,8983,3485,159150,74240,84910,1626,1390,236,AMRELI,GUJARAT,2011
182359,95774,86585,14818,8069,6749,154269,79363,74906,14330,8283,6047,149262,75474,73788,10072,6339,3733,480669,249361,231308,28926,20999,7927,133366,62096,71270,3060,2659,401,ANAND,GUJARAT,2001
194227,101765,92462,17608,9490,8118,176032,92042,83990,20231,11627,8604,167102,85656,81446,15354,8836,6518,601908,309304,292604,41430,27425,14005,182502,83757,98745,7523,6053,1470,ANAND,GUJARAT,2011
193325,96664,96661,2520,1750,770,168692,86267,82425,2810,2300,510,150473,76446,74027,2630,2140,490,429062,222810,206252,4670,4360,310,123730,60090,63640,300,300,0,BANAS KANTHA,GUJARAT,1991
224028,113626,110402,5308,3615,1693,194063,99340,94723,5669,4106,1563,179515,90383,89132,4196,3319,877,518731,268015,250716,9179,8094,1085,141890,64834,77056,534,494,40,BANAS KANTHA,GUJARAT,2001
287527,148851,138676,13704,9124,4580,252372,130579,121793,14648,10395,4253,228441,115957,112484,8801,6347,2454,706478,359744,346734,17477,14224,3253,198286,91019,107267,1621,1481,140,BANAS KANTHA,GUJARAT,2011
151540,77777,73763,5153,2960,2193,135728,69121,66607,6120,4050,2070,119344,63173,56171,5550,4250,1300,354896,186880,168016,10350,8650,1700,100206,47735,52471,610,560,50,BHARUCH,GUJARAT,1991
124635,67228,57407,7521,3737,3784,118845,61034,57811,11375,6226,5149,116050,59465,56585,9540,5980,3560,349590,183531,166059,19936,14865,5071,95789,43893,51896,1546,1311,235,BHARUCH,GUJARAT,2001
144474,78055,66419,13089,6868,6221,130617,68698,61919,14602,7865,6737,121437,62167,59270,11428,6232,5196,451736,234620,217116,32909,21824,11085,124078,57269,66809,4050,3333,717,BHARUCH,GUJARAT,2011
207662,103923,103739,7270,3770,3500,178365,90053,88312,7415,4615,2800,159093,80840,78253,6890,5050,1840,456598,238097,218501,12420,9890,2530,158061,74732,83329,1140,990,150,BHAVNAGAR,GUJARAT,1991
216423,112301,104122,10521,5733,4788,185914,95151,90763,11454,6734,4720,179120,89241,89879,9203,5867,3336,541342,283021,258321,24041,17429,6612,180512,82957,97555,2726,2275,451,BHAVNAGAR,GUJARAT,2001
273001,140656,132345,16826,9859,6967,234445,123329,111116,16675,10027,6648,210679,108313,102366,11788,6925,4863,717342,370179,347163,35103,23382,11721,237341,110153,127188,6044,4765,1279,BHAVNAGAR,GUJARAT,2011
137508,67310,70198,4262,2573,1689,121920,62069,59851,4960,3508,1452,109678,54610,55068,3614,2618,996,335495,172304,163191,7475,5863,1612,88376,40574,47802,447,378,69,DOHAD,GUJARAT,2001
178324,87332,90992,6993,3862,3131,160808,80905,79903,7928,4829,3099,145779,73216,72563,6007,3921,2086,448000,227323,220677,13623,10015,3608,125489,57713,67776,1107,925,182,DOHAD,GUJARAT,2011
42241,21352,20889,3872,2102,1770,35939,17676,18263,4288,2580,1708,32279,16827,15452,4520,3180,1340,91036,49177,41859,9190,7860,1330,19754,8781,10973,470,450,20,GANDHINAGAR,GUJARAT,1991
136550,70133,66417,13382,7010,6372,115838,59353,56485,14664,8535,6129,108323,55304,53019,10909,7044,3865,329732,171325,158407,29651,22696,6955,86164,39203,46961,2610,2331,279,GANDHINAGAR,GUJARAT,2001
136032,70022,66010,18783,9855,8928,124412,64096,60316,20941,11259,9682,113125,57892,55233,14852,8577,6275,393589,201571,192018,41447,28585,12862,110034,50340,59694,6275,5300,975,GANDHINAGAR,GUJARAT,2011
154282,79287,74995,5945,3135,2810,127232,65523,61709,6971,4461,2510,109494,55603,53891,5470,3890,1580,322627,168947,153680,10010,7970,2040,106149,49649,56500,426,396,30,JAMNAGAR,GUJARAT,1991
182833,95596,87237,10536,5167,5369,150316,77070,73246,12687,6735,5952,142291,71972,70319,9568,5744,3824,450525,235564,214961,22975,16452,6523,146511,67103,79408,1754,1491,263,JAMNAGAR,GUJARAT,2001
208365,107510,100855,17998,9292,8706,186823,96448,90375,19642,10445,9197,167868,86074,81794,13882,7461,6421,577104,300158,276946,34374,21823,12551,189802,87751,102051,4575,3563,1012,JAMNAGAR,GUJARAT,2011
232426,120006,112420,7480,4020,3460,190025,96857,93168,7787,5450,2337,163481,81286,82195,7105,5575,1530,506178,261278,244900,11520,9820,1700,158682,74342,84340,660,590,70,JUNAGADH,GUJARAT,1991
230278,118554,111724,13733,6840,6893,192204,97987,94217,13361,7907,5454,182123,90824,91299,9418,6186,3232,575257,297047,278210,22921,18104,4817,182137,83408,98729,1516,1343,173,JUNAGADH,GUJARAT,2001
253686,130342,123344,31155,16423,14732,222602,114594,108008,27797,15722,12075,210767,106309,104458,16270,9408,6862,757026,389208,367818,40596,28102,12494,243013,111668,131345,4286,3655,631,JUNAGADH,GUJARAT,2011
114445,57185,57260,3715,1890,1825,103697,51731,51966,4360,2720,1640,90995,45526,45469,3930,2810,1120,258320,133929,124391,6310,4740,1570,91162,40722,50440,340,330,10,KACHCHH,GUJARAT,1991
146169,76766,69403,6046,3218,2828,121760,62228,59532,7286,4260,3026,116290,58985,57305,5788,3654,2134,358129,186106,172023,12396,8850,3546,112625,50262,62363,1169,976,193,KACHCHH,GUJARAT,2001
212109,114828,97281,14395,7749,6646,193279,103887,89392,18274,10147,8127,163578,87776,75802,14297,8556,5741,500344,264102,236242,28317,18933,9384,146216,66253,79963,3154,2438,716,KACHCHH,GUJARAT,2011
348391,179655,168736,14680,8150,6530,292325,148260,144065,15177,9540,5637,271729,136620,135109,14160,10350,3810,784691,413500,371191,27734,22614,5120,229545,112272,117273,1890,1620,270,KHEDA,GUJARAT,1991
190773,97781,92992,10679,5922,4757,168028,87256,80772,11895,7489,4406,161236,80792,80444,8733,6046,2687,517544,267339,250205,23017,17808,5209,148742,70295,78447,2147,1880,267,KHEDA,GUJARAT,2001
205025,106165,98860,12510,7174,5336,185476,96226,89250,14424,8733,5691,178138,90237,87901,11121,6942,4179,644947,329155,315792,32452,23079,9373,193782,89810,103972,5237,4377,860,KHEDA,GUJARAT,2011
293906,143820,150086,10920,6950,3970,237477,120366,117111,10850,8370,2480,206553,103215,103338,8600,7200,1400,642728,330961,311767,18521,16681,1840,211552,100958,110594,840,800,40,MAHESANA,GUJARAT,1991
179631,89882,89749,13046,7011,6035,147387,74824,72563,12406,7769,4637,142437,70768,71669,8775,6232,2543,451739,232551,219188,20853,17913,2940,143321,66474,76847,1789,1678,111,MAHESANA,GUJARAT,2001
196144,100379,95765,25649,13671,11978,169756,87643,82113,24896,13778,11118,155339,78619,76720,15265,9227,6038,570581,289446,281135,37409,28425,8984,186090,85461,100629,5611,5106,505,MAHESANA,GUJARAT,2011
42636,21637,20999,1725,1045,680,43332,21896,21436,2077,1435,642,41338,20439,20899,1503,1120,383,126397,65623,60774,3274,2672,602,36226,17182,19044,250,217,33,NARMADA,GUJARAT,2001
50754,26035,24719,2205,1195,1010,44516,22732,21784,2841,1762,1079,42928,21598,21330,2064,1446,618,160929,81854,79075,4995,3768,1227,47519,22564,24955,604,529,75,NARMADA,GUJARAT,2011
116423,61246,55177,11276,5276,6000,104769,53023,51746,11390,5890,5500,103357,51458,51899,8335,4533,3802,335503,171140,164363,18819,12611,6208,98123,44616,53507,2052,1688,364,NAVSARI,GUJARAT,2001
122364,63725,58639,13269,5978,7291,114157,59639,54518,15396,7555,7841,106066,54426,51640,12137,6228,5909,412995,207603,205392,31213,17992,13221,130245,60288,69957,4660,3586,1074,NAVSARI,GUJARAT,2011
251701,125665,126036,8600,5120,3480,231491,119127,112364,8613,6360,2253,211758,104572,107186,6452,4670,1782,624564,329727,294837,11894,9820,2074,185886,95206,90680,950,780,170,PANCH MAHALS,GUJARAT,1991
175734,90885,84849,7106,4336,2770,153979,79554,74425,8481,5696,2785,148636,74106,74530,6694,4893,1801,473800,244113,229687,14011,11300,2711,142649,69241,73408,955,848,107,PANCH MAHALS,GUJARAT,2001
210391,109855,100536,10455,6014,4441,188260,98058,90202,12296,7807,4489,175331,89266,86065,8969,5960,3009,603190,306796,296394,24152,17952,6200,184795,86895,97900,2436,2116,320,PANCH MAHALS,GUJARAT,2011
112890,56724,56166,4729,2729,2000,91521,46566,44955,4509,2948,1561,86895,43391,43504,3081,2246,835,270562,138881,131681,8017,6730,1287,86256,39822,46434,744,667,77,PATAN,GUJARAT,2001
124031,63944,60087,8092,4700,3392,108646,56510,52136,8353,5040,3313,99572,50933,48639,4997,3187,1810,343621,175338,168283,12674,9541,3133,111653,50860,60793,1893,1662,231,PATAN,GUJARAT,2011
50328,26748,23580,2362,1094,1268,44035,22133,21902,2694,1489,1205,41011,20604,20407,2109,1371,738,133202,68358,64844,5338,3954,1384,42709,19308,23401,484,407,77,PORBANDAR,GUJARAT,2001
51961,27430,24531,4234,2161,2073,48429,25026,23403,4221,2256,1965,45714,22953,22761,2742,1525,1217,168038,86097,81941,7757,5245,2512,55663,25611,30052,1122,915,207,PORBANDAR,GUJARAT,2011
243378,125979,117399,12490,5620,6870,204012,101946,102066,12730,7530,5200,187968,96236,91732,13510,9170,4340,539655,281450,258205,24600,19390,5210,170314,80854,89460,1640,1530,110,RAJKOT,GUJARAT,1991
309302,161683,147619,24797,10848,13949,250735,127761,122974,25937,12642,13295,242432,121449,120983,19397,10809,8588,784300,408729,375571,54197,38139,16058,245527,113995,131532,5108,4338,770,RAJKOT,GUJARAT,2001
369044,187555,181489,46980,21957,25023,347439,178513,168926,49803,24010,25793,305000,157035,147965,33523,16333,17190,1070323,553088,517235,90414,54737,35677,337124,159373,177751,14039,11114,2925,RAJKOT,GUJARAT,2011
166047,81370,84677,6486,4440,2046,140042,70384,69658,6720,5410,1310,129074,64133,64941,4720,4240,480,387542,200192,187350,8916,8306,610,117489,56709,60780,480,430,50,SABAR KANTHA,GUJARAT,1991
195158,97755,97403,11213,6867,4346,163067,83124,79943,11164,7758,3406,155744,76828,78916,8932,6860,2072,504986,258129,246857,21125,18461,2664,148513,69289,79224,1290,1176,114,SABAR KANTHA,GUJARAT,2001
213627,109036,104591,17936,10407,7529,192790,99359,93431,20860,12882,7978,180675,90818,89857,13689,8915,4774,648366,327065,321301,37663,29744,7919,202827,93627,109200,4149,3847,302,SABAR KANTHA,GUJARAT,2011
368588,191957,176631,16360,8810,7550,341458,176687,164771,19690,12570,7120,291779,155169,136610,15950,10940,5010,723418,398076,325342,29123,22120,7003,182228,89742,92486,2540,2180,360,SURAT,GUJARAT,1991
554362,320847,233515,35104,18018,17086,522362,288769,233593,42726,23448,19278,458276,250395,207881,34082,21009,13073,1174447,641390,533057,71059,49998,21061,261423,122260,139163,6339,5182,1157,SURAT,GUJARAT,2001
715502,428635,286867,63106,32940,30166,672937,384925,288012,73235,38386,34849,563952,316916,247036,57258,31322,25936,1570463,860077,710386,131422,82711,48711,329746,159460,170286,16726,12700,4026,SURAT,GUJARAT,2011
110338,57222,53116,3460,1940,1520,96291,49065,47226,3932,2642,1290,86717,44386,42331,3295,2515,780,254519,133221,121298,6390,5440,950,79987,38160,41827,410,370,40,SURENDRANAGAR,GUJARAT,1991
137581,72321,65260,5325,2967,2358,113501,58718,54783,5936,3682,2254,110142,55648,54494,4679,3131,1548,345626,180435,165191,12228,9443,2785,111472,51268,60204,1116,967,149,SURENDRANAGAR,GUJARAT,2001
159763,82649,77114,11357,6823,4534,143834,74896,68938,11127,7039,4088,128384,65996,62388,6613,4121,2492,443645,229404,214241,19378,13568,5810,147905,68631,79274,2788,2349,439,SURENDRANAGAR,GUJARAT,2011
72403,35727,36676,4942,2383,2559,66648,33182,33466,5719,2899,2820,62052,30592,31460,4107,2229,1878,246996,122023,124973,8784,5417,3367,70546,32454,38092,779,608,171,TAPI,GUJARAT,2011
11369,4720,6649,190,100,90,12868,6027,6841,210,180,30,10603,5424,5179,240,160,80,30679,16527,14152,220,180,40,6915,3227,3688,0,0,0,THE DANGS,GUJARAT,1991
14923,6912,8011,432,252,180,14322,6914,7408,597,383,214,13304,6466,6838,525,373,152,42103,21762,20341,647,490,157,10211,4881,5330,16,11,5,THE DANGS,GUJARAT,2001
19599,9270,10329,707,397,310,17420,8509,8911,957,569,388,14713,7290,7423,589,375,214,54345,26997,27348,1281,919,362,12790,6072,6718,40,28,12,THE DANGS,GUJARAT,2011
308243,160193,148050,21320,11030,10290,267640,135426,132214,23904,13440,10464,265624,136295,129329,22850,13810,9040,745918,400377,345541,50595,37345,13250,191163,95676,95487,4760,4010,750,VADODARA,GUJARAT,1991
337891,175943,161948,33619,16709,16910,313181,158760,154421,41530,21116,20414,303183,154176,149007,33828,18775,15053,985008,515956,469052,98462,63626,34836,256734,121949,134785,12344,9843,2501,VADODARA,GUJARAT,2001
370405,191631,178774,45488,22822,22666,355643,182123,173520,57509,29402,28107,333074,169315,163759,47836,25085,22751,1234925,632802,602123,147504,86635,60869,355752,171045,184707,29301,21431,7870,VADODARA,GUJARAT,2011
216538,108770,107768,12262,6112,6150,191367,95451,95916,13040,8120,4920,173841,87512,86329,10170,6530,3640,512342,269380,242962,18150,14110,4040,144890,68240,76650,1050,910,140,VALSAD,GUJARAT,1991
136722,73236,63486,10216,5051,5165,135439,70883,64556,13796,7622,6174,123173,63969,59204,11197,6887,4310,351327,184652,166675,21752,15347,6405,90960,41969,48991,1653,1362,291,VALSAD,GUJARAT,2001
160029,85533,74496,14914,7588,7326,150376,78753,71623,17301,9075,8226,139866,72615,67251,14651,8057,6594,479305,249982,229323,40544,25374,15170,126609,59474,67135,4813,3686,1127,VALSAD,GUJARAT,2011
104680,53612,51068,9434,4160,5274,95503,49114,46389,9870,5130,4740,79837,40733,39104,8430,4920,3510,230639,127552,103087,21834,15693,6141,93411,49669,43742,1940,1740,200,AMBALA,HARYANA,1991
97946,52937,45009,10390,4867,5523,85052,44849,40203,11474,5823,5651,76086,38867,37219,8759,4797,3962,240137,129569,110568,25204,16140,9064,86763,43197,43566,3009,2472,537,AMBALA,HARYANA,2001
116232,60611,55621,21020,9705,11315,106055,55711,50344,22427,10983,11444,88568,45862,42706,15572,7917,7655,309656,159978,149678,37943,22041,15902,111587,55840,55747,7229,5300,1929,AMBALA,HARYANA,2011
100093,51784,48309,2734,1850,884,87678,45149,42529,3184,2493,691,70951,35950,35001,2590,2170,420,204255,111302,92953,6547,5970,577,86954,43794,43160,420,390,30,BHIWANI,HARYANA,1991
134676,73373,61303,8122,5313,2809,112470,58335,54135,7723,5592,2131,95159,47869,47290,5090,3925,1165,287679,149988,137691,13149,11056,2093,109617,54945,54672,1184,1108,76,BHIWANI,HARYANA,2001
163504,88846,74658,25693,14565,11128,143031,75801,67230,24432,15171,9261,121942,62925,59017,14423,9766,4657,394727,203828,190899,25655,19942,5713,150519,72630,77889,3463,3165,298,BHIWANI,HARYANA,2011
135942,72023,63919,9020,4770,4250,128971,66905,62066,10887,6007,4880,107693,58360,49333,10140,6240,3900,281122,160755,120367,21331,15951,5380,87631,45824,41807,1530,1360,170,FARIDABAD,HARYANA,1991
195490,107562,87928,20245,10669,9576,182931,96830,86101,25483,14306,11177,160001,82873,77128,20569,12153,8416,454876,250974,203902,53403,35542,17861,126373,64579,61794,6422,5120,1302,FARIDABAD,HARYANA,2001
183097,95954,87143,40473,21597,18876,169976,86977,82999,47166,24700,22466,146586,75110,71476,36512,19771,16741,452749,241413,211336,93070,55418,37652,113012,59127,53885,16832,11827,5005,FARIDABAD,HARYANA,2011
74051,39439,34612,3227,1742,1485,66589,34148,32441,3040,1963,1077,59899,30418,29481,2379,1602,777,161348,85588,75760,5384,4153,1231,60640,29523,31117,342,299,43,FATEHABAD,HARYANA,2001
94904,50448,44456,10704,5660,5044,79538,41808,37730,9789,5518,4271,68842,35288,33554,5585,3331,2254,229303,117801,111502,10443,7184,3259,86333,41589,44744,1062,898,164,FATEHABAD,HARYANA,2011
102146,52710,49436,5570,2920,2650,93955,49637,44318,6136,4000,2136,76331,39911,36420,4939,3259,1680,204970,111245,93725,10815,8301,2514,82267,42270,39997,740,650,90,GURGAON,HARYANA,1991
141448,75503,65945,10949,5544,5405,133936,69992,63944,16062,8712,7350,114407,59148,55259,13513,8291,5222,308937,165340,143597,31038,20795,10243,105277,52539,52738,4799,3704,1095,GURGAON,HARYANA,2001
153479,83840,69639,34035,17570,16465,158759,83403,75356,52391,25880,26511,142161,75510,66651,48879,25933,22946,382544,205369,177175,106684,62140,44544,113703,56548,57155,25024,16309,8715,GURGAON,HARYANA,2011
