State,District,Year,GDP
AndhraPradesh,ADILABAD,1999-00,3463.28
AndhraPradesh,ADILABAD,2000-01,3742.69
AndhraPradesh,ADILABAD,2001-02,4209.4
AndhraPradesh,ADILABAD,2002-03,4099.29
AndhraPradesh,ADILABAD,2003-04,4781.85
AndhraPradesh,ADILABAD,2004-05,5535.105
AndhraPradesh,ADILABAD,2005-06,6115.67
AndhraPradesh,ADILABAD,2006-07,6842.13
AndhraPradesh,ADILABAD,2007-08,7477.110000000001
AndhraPradesh,ADILABAD,2008-09,9342.33
AndhraPradesh,ADILABAD,2009-10,9514.0
AndhraPradesh,ADILABAD,2010-11,9962.0
AndhraPradesh,ADILABAD,2011-12,10567.0
AndhraPradesh,ADILABAD,2012-13,11111.0
AndhraPradesh,ANANTAPUR,1999-00,4728.59
AndhraPradesh,ANANTAPUR,2000-01,6497.7
AndhraPradesh,ANANTAPUR,2001-02,5726.9
AndhraPradesh,ANANTAPUR,2002-03,5728.86
AndhraPradesh,ANANTAPUR,2003-04,6083.64
AndhraPradesh,ANANTAPUR,2004-05,8582.39
AndhraPradesh,ANANTAPUR,2005-06,8391.195
AndhraPradesh,ANANTAPUR,2006-07,8796.285
AndhraPradesh,ANANTAPUR,2007-08,11316.71
AndhraPradesh,ANANTAPUR,2008-09,12759.93
AndhraPradesh,ANANTAPUR,2009-10,13532.0
AndhraPradesh,ANANTAPUR,2010-11,14793.0
AndhraPradesh,ANANTAPUR,2011-12,15799.0
AndhraPradesh,ANANTAPUR,2012-13,16563.0
AndhraPradesh,CHITTOOR,1999-00,5395.57
AndhraPradesh,CHITTOOR,2000-01,6223.34
AndhraPradesh,CHITTOOR,2001-02,6679.35
AndhraPradesh,CHITTOOR,2002-03,6490.28
AndhraPradesh,CHITTOOR,2003-04,7100.34
AndhraPradesh,CHITTOOR,2004-05,8440.3
AndhraPradesh,CHITTOOR,2005-06,8871.45
AndhraPradesh,CHITTOOR,2006-07,9497.96
AndhraPradesh,CHITTOOR,2007-08,10688.715
AndhraPradesh,CHITTOOR,2008-09,12528.14
AndhraPradesh,CHITTOOR,2009-10,12875.0
AndhraPradesh,CHITTOOR,2010-11,14685.0
AndhraPradesh,CHITTOOR,2011-12,15423.0
AndhraPradesh,CHITTOOR,2012-13,16144.0
AndhraPradesh,GODAVARI EAST,1999-00,9507.67
AndhraPradesh,GODAVARI EAST,2000-01,9664.92
AndhraPradesh,GODAVARI EAST,2001-02,10293.74
AndhraPradesh,GODAVARI EAST,2002-03,10774.68
AndhraPradesh,GODAVARI EAST,2003-04,11955.33
AndhraPradesh,GODAVARI EAST,2004-05,14988.285
AndhraPradesh,GODAVARI EAST,2005-06,14576.7
AndhraPradesh,GODAVARI EAST,2006-07,16405.17
AndhraPradesh,GODAVARI EAST,2007-08,17861.62
AndhraPradesh,GODAVARI EAST,2008-09,21859.9
AndhraPradesh,GODAVARI EAST,2009-10,22527.0
AndhraPradesh,GODAVARI EAST,2010-11,21840.0
AndhraPradesh,GODAVARI EAST,2011-12,22984.0
AndhraPradesh,GODAVARI EAST,2012-13,24317.0
AndhraPradesh,GODAVARI WEST,1999-00,7398.0
AndhraPradesh,GODAVARI WEST,2000-01,7679.4
AndhraPradesh,GODAVARI WEST,2001-02,7581.59
AndhraPradesh,GODAVARI WEST,2002-03,8157.23
AndhraPradesh,GODAVARI WEST,2003-04,9285.8
AndhraPradesh,GODAVARI WEST,2004-05,11411.945
AndhraPradesh,GODAVARI WEST,2005-06,11083.96
AndhraPradesh,GODAVARI WEST,2006-07,11842.695
AndhraPradesh,GODAVARI WEST,2007-08,13642.445
AndhraPradesh,GODAVARI WEST,2008-09,14501.24
AndhraPradesh,GODAVARI WEST,2009-10,15771.0
AndhraPradesh,GODAVARI WEST,2010-11,18355.0
AndhraPradesh,GODAVARI WEST,2011-12,18931.0
AndhraPradesh,GODAVARI WEST,2012-13,20248.0
AndhraPradesh,GUNTUR,1999-00,7905.62
AndhraPradesh,GUNTUR,2000-01,8440.46
AndhraPradesh,GUNTUR,2001-02,9093.67
AndhraPradesh,GUNTUR,2002-03,8308.96
AndhraPradesh,GUNTUR,2003-04,9317.54
AndhraPradesh,GUNTUR,2004-05,10923.875
AndhraPradesh,GUNTUR,2005-06,12238.060000000001
AndhraPradesh,GUNTUR,2006-07,13119.34
AndhraPradesh,GUNTUR,2007-08,14315.385
AndhraPradesh,GUNTUR,2008-09,17406.21
AndhraPradesh,GUNTUR,2009-10,19098.0
AndhraPradesh,GUNTUR,2010-11,19367.0
AndhraPradesh,GUNTUR,2011-12,21126.0
AndhraPradesh,GUNTUR,2012-13,22395.0
AndhraPradesh,HYDERABAD,1999-00,9213.4
AndhraPradesh,HYDERABAD,2000-01,9798.19
AndhraPradesh,HYDERABAD,2001-02,10579.58
AndhraPradesh,HYDERABAD,2002-03,11572.47
AndhraPradesh,HYDERABAD,2003-04,12449.88
AndhraPradesh,HYDERABAD,2004-05,14883.42
AndhraPradesh,HYDERABAD,2005-06,17469.885
AndhraPradesh,HYDERABAD,2006-07,20089.115
AndhraPradesh,HYDERABAD,2007-08,22425.905
AndhraPradesh,HYDERABAD,2008-09,28430.61
AndhraPradesh,HYDERABAD,2009-10,29889.0
AndhraPradesh,HYDERABAD,2010-11,34847.0
AndhraPradesh,HYDERABAD,2011-12,37346.0
AndhraPradesh,HYDERABAD,2012-13,39458.0
AndhraPradesh,KADAPA,1999-00,3822.76
AndhraPradesh,KADAPA,2000-01,4242.48
AndhraPradesh,KADAPA,2001-02,3947.37
AndhraPradesh,KADAPA,2002-03,4043.1
AndhraPradesh,KADAPA,2003-04,4450.84
AndhraPradesh,KADAPA,2004-05,5627.955
AndhraPradesh,KADAPA,2005-06,5917.325
AndhraPradesh,KADAPA,2006-07,9620.295
AndhraPradesh,KADAPA,2007-08,10786.05
AndhraPradesh,KADAPA,2008-09,9062.99
AndhraPradesh,KADAPA,2009-10,9569.0
AndhraPradesh,KADAPA,2010-11,10748.0
AndhraPradesh,KADAPA,2011-12,11492.0
AndhraPradesh,KADAPA,2012-13,12057.0
AndhraPradesh,KARIMNAGAR,1999-00,6470.23
AndhraPradesh,KARIMNAGAR,2000-01,6488.53
AndhraPradesh,KARIMNAGAR,2001-02,6596.97
AndhraPradesh,KARIMNAGAR,2002-03,6755.13
AndhraPradesh,KARIMNAGAR,2003-04,7611.4
AndhraPradesh,KARIMNAGAR,2004-05,8095.705
AndhraPradesh,KARIMNAGAR,2005-06,10168.865
AndhraPradesh,KARIMNAGAR,2006-07,11047.295
AndhraPradesh,KARIMNAGAR,2007-08,11737.87
AndhraPradesh,KARIMNAGAR,2008-09,13838.7
AndhraPradesh,KARIMNAGAR,2009-10,13331.0
AndhraPradesh,KARIMNAGAR,2010-11,15441.0
AndhraPradesh,KARIMNAGAR,2011-12,17389.0
AndhraPradesh,KARIMNAGAR,2012-13,18308.0
AndhraPradesh,KHAMMAM,1999-00,4947.7
AndhraPradesh,KHAMMAM,2000-01,5251.99
AndhraPradesh,KHAMMAM,2001-02,5660.22
AndhraPradesh,KHAMMAM,2002-03,5824.08
AndhraPradesh,KHAMMAM,2003-04,6473.74
AndhraPradesh,KHAMMAM,2004-05,7480.135
AndhraPradesh,KHAMMAM,2005-06,8028.805
AndhraPradesh,KHAMMAM,2006-07,8714.43
AndhraPradesh,KHAMMAM,2007-08,9499.505000000001
AndhraPradesh,KHAMMAM,2008-09,11252.57
AndhraPradesh,KHAMMAM,2009-10,11663.0
AndhraPradesh,KHAMMAM,2010-11,13123.0
AndhraPradesh,KHAMMAM,2011-12,13567.0
AndhraPradesh,KHAMMAM,2012-13,14335.0
AndhraPradesh,KRISHNA,1999-00,8615.47
AndhraPradesh,KRISHNA,2000-01,8870.78
AndhraPradesh,KRISHNA,2001-02,9401.85
AndhraPradesh,KRISHNA,2002-03,9935.66
AndhraPradesh,KRISHNA,2003-04,9658.97
AndhraPradesh,KRISHNA,2004-05,12860.835
AndhraPradesh,KRISHNA,2005-06,14003.52
AndhraPradesh,KRISHNA,2006-07,15287.605
AndhraPradesh,KRISHNA,2007-08,16965.64
AndhraPradesh,KRISHNA,2008-09,20754.97
AndhraPradesh,KRISHNA,2009-10,22839.0
AndhraPradesh,KRISHNA,2010-11,23463.0
AndhraPradesh,KRISHNA,2011-12,25205.0
AndhraPradesh,KRISHNA,2012-13,26909.0
AndhraPradesh,KURNOOL,1999-00,4548.1
AndhraPradesh,KURNOOL,2000-01,5178.12
AndhraPradesh,KURNOOL,2001-02,5528.65
AndhraPradesh,KURNOOL,2002-03,5459.11
AndhraPradesh,KURNOOL,2003-04,5945.7
AndhraPradesh,KURNOOL,2004-05,7078.305
AndhraPradesh,KURNOOL,2005-06,8709.869999999999
AndhraPradesh,KURNOOL,2006-07,8477.265
AndhraPradesh,KURNOOL,2007-08,10105.825
AndhraPradesh,KURNOOL,2008-09,12241.0
AndhraPradesh,KURNOOL,2009-10,12441.0
AndhraPradesh,KURNOOL,2010-11,13780.0
AndhraPradesh,KURNOOL,2011-12,13786.0
AndhraPradesh,KURNOOL,2012-13,14569.0
AndhraPradesh,MAHABUBNAGAR,1999-00,3796.76
AndhraPradesh,MAHABUBNAGAR,2000-01,4376.17
AndhraPradesh,MAHABUBNAGAR,2001-02,4717.05
AndhraPradesh,MAHABUBNAGAR,2002-03,4915.71
AndhraPradesh,MAHABUBNAGAR,2003-04,5131.12
AndhraPradesh,MAHABUBNAGAR,2004-05,6262.965
AndhraPradesh,MAHABUBNAGAR,2005-06,7882.594999999999
AndhraPradesh,MAHABUBNAGAR,2006-07,8562.31
AndhraPradesh,MAHABUBNAGAR,2007-08,9822.6
AndhraPradesh,MAHABUBNAGAR,2008-09,10598.71
AndhraPradesh,MAHABUBNAGAR,2009-10,11845.0
AndhraPradesh,MAHABUBNAGAR,2010-11,12808.0
AndhraPradesh,MAHABUBNAGAR,2011-12,12783.0
AndhraPradesh,MAHABUBNAGAR,2012-13,13465.0
AndhraPradesh,MEDAK,1999-00,6681.38
AndhraPradesh,MEDAK,2000-01,6141.82
AndhraPradesh,MEDAK,2001-02,6483.42
AndhraPradesh,MEDAK,2002-03,6414.96
AndhraPradesh,MEDAK,2003-04,7487.09
AndhraPradesh,MEDAK,2004-05,8301.0
AndhraPradesh,MEDAK,2005-06,9257.27
AndhraPradesh,MEDAK,2006-07,10961.369999999999
AndhraPradesh,MEDAK,2007-08,11417.575
AndhraPradesh,MEDAK,2008-09,14790.43
AndhraPradesh,MEDAK,2009-10,15669.0
AndhraPradesh,MEDAK,2010-11,20410.0
AndhraPradesh,MEDAK,2011-12,24101.0
AndhraPradesh,MEDAK,2012-13,24520.0
AndhraPradesh,NALGONDA,1999-00,4907.01
AndhraPradesh,NALGONDA,2000-01,5184.13
AndhraPradesh,NALGONDA,2001-02,5334.46
AndhraPradesh,NALGONDA,2002-03,5193.16
AndhraPradesh,NALGONDA,2003-04,5703.24
AndhraPradesh,NALGONDA,2004-05,7001.67
AndhraPradesh,NALGONDA,2005-06,8141.719999999999
AndhraPradesh,NALGONDA,2006-07,8787.630000000001
AndhraPradesh,NALGONDA,2007-08,10748.385
AndhraPradesh,NALGONDA,2008-09,13982.38
AndhraPradesh,NALGONDA,2009-10,13495.0
AndhraPradesh,NALGONDA,2010-11,14462.0
AndhraPradesh,NALGONDA,2011-12,15443.0
AndhraPradesh,NALGONDA,2012-13,16126.0
AndhraPradesh,NELLORE,1999-00,4575.15
AndhraPradesh,NELLORE,2000-01,4811.17
AndhraPradesh,NELLORE,2001-02,5190.19
AndhraPradesh,NELLORE,2002-03,5499.76
AndhraPradesh,NELLORE,2003-04,5421.2
AndhraPradesh,NELLORE,2004-05,6873.135
AndhraPradesh,NELLORE,2005-06,7306.705
AndhraPradesh,NELLORE,2006-07,8228.545
AndhraPradesh,NELLORE,2007-08,8979.675
AndhraPradesh,NELLORE,2008-09,11494.65
AndhraPradesh,NELLORE,2009-10,11694.0
AndhraPradesh,NELLORE,2010-11,11707.0
AndhraPradesh,NELLORE,2011-12,13900.0
AndhraPradesh,NELLORE,2012-13,14774.0
AndhraPradesh,NIZAMABAD,1999-00,3176.41
AndhraPradesh,NIZAMABAD,2000-01,3590.01
AndhraPradesh,NIZAMABAD,2001-02,3566.05
AndhraPradesh,NIZAMABAD,2002-03,3621.97
AndhraPradesh,NIZAMABAD,2003-04,3614.71
AndhraPradesh,NIZAMABAD,2004-05,4309.695
AndhraPradesh,NIZAMABAD,2005-06,5172.025
AndhraPradesh,NIZAMABAD,2006-07,5522.49
AndhraPradesh,NIZAMABAD,2007-08,6166.16
AndhraPradesh,NIZAMABAD,2008-09,8599.06
AndhraPradesh,NIZAMABAD,2009-10,7238.0
AndhraPradesh,NIZAMABAD,2010-11,8670.0
AndhraPradesh,NIZAMABAD,2011-12,9115.0
AndhraPradesh,NIZAMABAD,2012-13,9645.0
AndhraPradesh,PRAKASAM,1999-00,4504.11
AndhraPradesh,PRAKASAM,2000-01,5209.69
AndhraPradesh,PRAKASAM,2001-02,5253.02
AndhraPradesh,PRAKASAM,2002-03,5166.96
AndhraPradesh,PRAKASAM,2003-04,5682.18
AndhraPradesh,PRAKASAM,2004-05,7834.005000000001
AndhraPradesh,PRAKASAM,2005-06,8515.415
AndhraPradesh,PRAKASAM,2006-07,9517.075
AndhraPradesh,PRAKASAM,2007-08,10023.965
AndhraPradesh,PRAKASAM,2008-09,12361.71
AndhraPradesh,PRAKASAM,2009-10,12799.0
AndhraPradesh,PRAKASAM,2010-11,14742.0
AndhraPradesh,PRAKASAM,2011-12,15616.0
AndhraPradesh,PRAKASAM,2012-13,16507.0
AndhraPradesh,RANGAREDDY,1999-00,7466.97
AndhraPradesh,RANGAREDDY,2000-01,7576.74
AndhraPradesh,RANGAREDDY,2001-02,8277.61
AndhraPradesh,RANGAREDDY,2002-03,8807.38
AndhraPradesh,RANGAREDDY,2003-04,9502.03
AndhraPradesh,RANGAREDDY,2004-05,11727.65
AndhraPradesh,RANGAREDDY,2005-06,14734.98
AndhraPradesh,RANGAREDDY,2006-07,17018.655
AndhraPradesh,RANGAREDDY,2007-08,18398.495000000003
AndhraPradesh,RANGAREDDY,2008-09,24905.95
AndhraPradesh,RANGAREDDY,2009-10,24748.0
AndhraPradesh,RANGAREDDY,2010-11,33036.0
AndhraPradesh,RANGAREDDY,2011-12,35406.0
AndhraPradesh,RANGAREDDY,2012-13,36535.0
AndhraPradesh,SRIKAKULAM,1999-00,2881.3
AndhraPradesh,SRIKAKULAM,2000-01,3271.96
AndhraPradesh,SRIKAKULAM,2001-02,3336.08
AndhraPradesh,SRIKAKULAM,2002-03,3410.17
AndhraPradesh,SRIKAKULAM,2003-04,3801.79
AndhraPradesh,SRIKAKULAM,2004-05,4614.075
AndhraPradesh,SRIKAKULAM,2005-06,4787.62
AndhraPradesh,SRIKAKULAM,2006-07,5315.4400000000005
AndhraPradesh,SRIKAKULAM,2007-08,5796.82
AndhraPradesh,SRIKAKULAM,2008-09,6649.93
AndhraPradesh,SRIKAKULAM,2009-10,7261.0
AndhraPradesh,SRIKAKULAM,2010-11,8092.0
AndhraPradesh,SRIKAKULAM,2011-12,8661.0
AndhraPradesh,SRIKAKULAM,2012-13,9144.0
AndhraPradesh,VISAKAPATNAM,1999-00,7917.36
AndhraPradesh,VISAKAPATNAM,2000-01,9349.9
AndhraPradesh,VISAKAPATNAM,2001-02,9773.66
AndhraPradesh,VISAKAPATNAM,2002-03,11227.5
AndhraPradesh,VISAKAPATNAM,2003-04,12770.07
AndhraPradesh,VISAKAPATNAM,2004-05,16899.77
AndhraPradesh,VISAKAPATNAM,2005-06,17109.585
AndhraPradesh,VISAKAPATNAM,2006-07,19221.96
AndhraPradesh,VISAKAPATNAM,2007-08,21393.785
AndhraPradesh,VISAKAPATNAM,2008-09,23532.83
AndhraPradesh,VISAKAPATNAM,2009-10,27260.0
AndhraPradesh,VISAKAPATNAM,2010-11,28991.0
AndhraPradesh,VISAKAPATNAM,2011-12,32201.0
AndhraPradesh,VISAKAPATNAM,2012-13,33524.0
AndhraPradesh,VIZIANAGARAM,1999-00,2636.85
AndhraPradesh,VIZIANAGARAM,2000-01,2735.93
AndhraPradesh,VIZIANAGARAM,2001-02,3006.34
AndhraPradesh,VIZIANAGARAM,2002-03,2978.88
AndhraPradesh,VIZIANAGARAM,2003-04,3306.7
AndhraPradesh,VIZIANAGARAM,2004-05,4420.299999999999
AndhraPradesh,VIZIANAGARAM,2005-06,4526.085
AndhraPradesh,VIZIANAGARAM,2006-07,4957.225
AndhraPradesh,VIZIANAGARAM,2007-08,5574.015
AndhraPradesh,VIZIANAGARAM,2008-09,6675.89
AndhraPradesh,VIZIANAGARAM,2009-10,7326.0
AndhraPradesh,VIZIANAGARAM,2010-11,7710.0
AndhraPradesh,VIZIANAGARAM,2011-12,8339.0
AndhraPradesh,VIZIANAGARAM,2012-13,8780.0
AndhraPradesh,WARANGAL,1999-00,4237.43
AndhraPradesh,WARANGAL,2000-01,4985.86
AndhraPradesh,WARANGAL,2001-02,4948.11
AndhraPradesh,WARANGAL,2002-03,4757.17
AndhraPradesh,WARANGAL,2003-04,5550.04
AndhraPradesh,WARANGAL,2004-05,6393.43
AndhraPradesh,WARANGAL,2005-06,7342.215
AndhraPradesh,WARANGAL,2006-07,7731.6900000000005
AndhraPradesh,WARANGAL,2007-08,8559.875
AndhraPradesh,WARANGAL,2008-09,10161.06
AndhraPradesh,WARANGAL,2009-10,10186.0
AndhraPradesh,WARANGAL,2010-11,11426.0
AndhraPradesh,WARANGAL,2011-12,12002.0
AndhraPradesh,WARANGAL,2012-13,12679.0
ArunachalPradesh,CHANGLANG,1999-00,176.09
ArunachalPradesh,CHANGLANG,2000-01,182.02
ArunachalPradesh,CHANGLANG,2001-02,194.24
ArunachalPradesh,CHANGLANG,2002-03,190.13
ArunachalPradesh,CHANGLANG,2003-04,204.19
ArunachalPradesh,CHANGLANG,2004-05,225.48
ArunachalPradesh,CHANGLANG,2005-06,226.8
ArunachalPradesh,CHANGLANG,2006-07,249.81
ArunachalPradesh,CHANGLANG,2007-08,258.71
ArunachalPradesh,DIBANG VALLEY,1999-00,86.85
ArunachalPradesh,DIBANG VALLEY,2000-01,92.86
ArunachalPradesh,DIBANG VALLEY,2001-02,113.45
ArunachalPradesh,DIBANG VALLEY,2002-03,104.78
ArunachalPradesh,DIBANG VALLEY,2003-04,117.24
ArunachalPradesh,DIBANG VALLEY,2004-05,140.84
ArunachalPradesh,DIBANG VALLEY,2005-06,131.62
ArunachalPradesh,DIBANG VALLEY,2006-07,150.4
ArunachalPradesh,DIBANG VALLEY,2007-08,155.66
ArunachalPradesh,KAMENG: EAST,1999-00,71.64
ArunachalPradesh,KAMENG: EAST,2000-01,77.02
ArunachalPradesh,KAMENG: EAST,2001-02,91.34
ArunachalPradesh,KAMENG: EAST,2002-03,85.49
ArunachalPradesh,KAMENG: EAST,2003-04,95.76
ArunachalPradesh,KAMENG: EAST,2004-05,112.52
ArunachalPradesh,KAMENG: EAST,2005-06,105.82
ArunachalPradesh,KAMENG: EAST,2006-07,120.34
ArunachalPradesh,KAMENG: EAST,2007-08,124.5
ArunachalPradesh,KAMENG: WEST,1999-00,150.66
ArunachalPradesh,KAMENG: WEST,2000-01,162.39
ArunachalPradesh,KAMENG: WEST,2001-02,198.81
ArunachalPradesh,KAMENG: WEST,2002-03,186.23
ArunachalPradesh,KAMENG: WEST,2003-04,203.74
ArunachalPradesh,KAMENG: WEST,2004-05,245.23
ArunachalPradesh,KAMENG: WEST,2005-06,227.15
ArunachalPradesh,KAMENG: WEST,2006-07,258.32
ArunachalPradesh,KAMENG: WEST,2007-08,267.16
ArunachalPradesh,LOHIT,1999-00,191.85
ArunachalPradesh,LOHIT,2000-01,206.86
ArunachalPradesh,LOHIT,2001-02,240.96
ArunachalPradesh,LOHIT,2002-03,228.39
ArunachalPradesh,LOHIT,2003-04,250.06
ArunachalPradesh,LOHIT,2004-05,288.81
ArunachalPradesh,LOHIT,2005-06,274.97
ArunachalPradesh,LOHIT,2006-07,310.54
ArunachalPradesh,LOHIT,2007-08,322.01
ArunachalPradesh,PAPUMPARE,1999-00,228.39
ArunachalPradesh,PAPUMPARE,2000-01,243.34
ArunachalPradesh,PAPUMPARE,2001-02,285.93
ArunachalPradesh,PAPUMPARE,2002-03,278.77
ArunachalPradesh,PAPUMPARE,2003-04,312.51
ArunachalPradesh,PAPUMPARE,2004-05,371.36
ArunachalPradesh,PAPUMPARE,2005-06,352.68
ArunachalPradesh,PAPUMPARE,2006-07,397.54
ArunachalPradesh,PAPUMPARE,2007-08,414.05
ArunachalPradesh,SIANG: EAST,1999-00,120.0
ArunachalPradesh,SIANG: EAST,2000-01,128.13
ArunachalPradesh,SIANG: EAST,2001-02,142.91
ArunachalPradesh,SIANG: EAST,2002-03,139.01
ArunachalPradesh,SIANG: EAST,2003-04,154.21
ArunachalPradesh,SIANG: EAST,2004-05,175.76
ArunachalPradesh,SIANG: EAST,2005-06,169.85
ArunachalPradesh,SIANG: EAST,2006-07,190.18
ArunachalPradesh,SIANG: EAST,2007-08,198.05
ArunachalPradesh,SIANG: UPPER,1999-00,50.91
ArunachalPradesh,SIANG: UPPER,2000-01,54.93
ArunachalPradesh,SIANG: UPPER,2001-02,67.32
ArunachalPradesh,SIANG: UPPER,2002-03,62.63
ArunachalPradesh,SIANG: UPPER,2003-04,71.72
ArunachalPradesh,SIANG: UPPER,2004-05,87.07
ArunachalPradesh,SIANG: UPPER,2005-06,80.37
ArunachalPradesh,SIANG: UPPER,2006-07,91.63
ArunachalPradesh,SIANG: UPPER,2007-08,94.67
ArunachalPradesh,SIANG: WEST,1999-00,139.65
ArunachalPradesh,SIANG: WEST,2000-01,150.44
ArunachalPradesh,SIANG: WEST,2001-02,172.28
ArunachalPradesh,SIANG: WEST,2002-03,165.14
ArunachalPradesh,SIANG: WEST,2003-04,183.87
ArunachalPradesh,SIANG: WEST,2004-05,213.1
ArunachalPradesh,SIANG: WEST,2005-06,202.15
ArunachalPradesh,SIANG: WEST,2006-07,227.48
ArunachalPradesh,SIANG: WEST,2007-08,236.04
ArunachalPradesh,SUBANSIRI: LOWER,1999-00,120.14
ArunachalPradesh,SUBANSIRI: LOWER,2000-01,129.66
ArunachalPradesh,SUBANSIRI: LOWER,2001-02,142.76
ArunachalPradesh,SUBANSIRI: LOWER,2002-03,140.47
ArunachalPradesh,SUBANSIRI: LOWER,2003-04,161.18
ArunachalPradesh,SUBANSIRI: LOWER,2004-05,185.5
ArunachalPradesh,SUBANSIRI: LOWER,2005-06,177.94
ArunachalPradesh,SUBANSIRI: LOWER,2006-07,199.07
ArunachalPradesh,SUBANSIRI: LOWER,2007-08,206.97
ArunachalPradesh,SUBANSIRI: UPPER,1999-00,65.45
ArunachalPradesh,SUBANSIRI: UPPER,2000-01,70.41
ArunachalPradesh,SUBANSIRI: UPPER,2001-02,82.22
ArunachalPradesh,SUBANSIRI: UPPER,2002-03,78.35
ArunachalPradesh,SUBANSIRI: UPPER,2003-04,88.36
ArunachalPradesh,SUBANSIRI: UPPER,2004-05,103.18
ArunachalPradesh,SUBANSIRI: UPPER,2005-06,97.47
ArunachalPradesh,SUBANSIRI: UPPER,2006-07,110.08
ArunachalPradesh,SUBANSIRI: UPPER,2007-08,114.22
ArunachalPradesh,TAWANG,1999-00,82.3
ArunachalPradesh,TAWANG,2000-01,88.38
ArunachalPradesh,TAWANG,2001-02,110.1
ArunachalPradesh,TAWANG,2002-03,102.36
ArunachalPradesh,TAWANG,2003-04,112.71
ArunachalPradesh,TAWANG,2004-05,135.01
ArunachalPradesh,TAWANG,2005-06,124.28
ArunachalPradesh,TAWANG,2006-07,141.07
ArunachalPradesh,TAWANG,2007-08,145.82
ArunachalPradesh,TIRAP,1999-00,127.81
ArunachalPradesh,TIRAP,2000-01,139.36
ArunachalPradesh,TIRAP,2001-02,154.22
ArunachalPradesh,TIRAP,2002-03,149.4
ArunachalPradesh,TIRAP,2003-04,164.7
ArunachalPradesh,TIRAP,2004-05,185.18
ArunachalPradesh,TIRAP,2005-06,177.82
ArunachalPradesh,TIRAP,2006-07,200.25
ArunachalPradesh,TIRAP,2007-08,207.89
Assam,BAKSA,2004-05,1025.94
Assam,BAKSA,2005-06,1059.03
Assam,BAKSA,2006-07,1132.28
Assam,BAKSA,2007-08,1161.31
Assam,BAKSA,2009-10,1480.1
Assam,BARPETA,1999-00,2496.55
Assam,BARPETA,2000-01,2491.58
Assam,BARPETA,2001-02,2524.91
Assam,BARPETA,2002-03,2627.54
Assam,BARPETA,2003-04,2738.64
Assam,BARPETA,2004-05,1497.38
Assam,BARPETA,2005-06,1571.27
Assam,BARPETA,2006-07,1677.05
Assam,BARPETA,2007-08,1771.38
Assam,BARPETA,2009-10,2317.39
Assam,BONGAIGAON,1999-00,774.07
Assam,BONGAIGAON,2000-01,788.41
Assam,BONGAIGAON,2001-02,819.74
Assam,BONGAIGAON,2002-03,880.47
Assam,BONGAIGAON,2003-04,940.1
Assam,BONGAIGAON,2004-05,1248.78
Assam,BONGAIGAON,2005-06,1302.93
Assam,BONGAIGAON,2006-07,1402.05
Assam,BONGAIGAON,2007-08,1495.87
Assam,BONGAIGAON,2009-10,1950.52
Assam,CACHAR,1999-00,1795.82
Assam,CACHAR,2000-01,1842.9
Assam,CACHAR,2001-02,1900.02
Assam,CACHAR,2002-03,2043.83
Assam,CACHAR,2003-04,2165.76
Assam,CACHAR,2004-05,2423.64
Assam,CACHAR,2005-06,2266.33
Assam,CACHAR,2006-07,2435.4
Assam,CACHAR,2007-08,2588.09
Assam,CACHAR,2009-10,3384.02
Assam,CHIRANG,2004-05,547.86
Assam,CHIRANG,2005-06,578.1
Assam,CHIRANG,2006-07,570.37
Assam,CHIRANG,2007-08,623.78
Assam,CHIRANG,2009-10,802.15
Assam,DARRANG,1999-00,1273.0
Assam,DARRANG,2000-01,1299.28
Assam,DARRANG,2001-02,1333.94
Assam,DARRANG,2002-03,1408.82
Assam,DARRANG,2003-04,1491.69
Assam,DARRANG,2004-05,1179.71
Assam,DARRANG,2005-06,1230.87
Assam,DARRANG,2006-07,1313.34
Assam,DARRANG,2007-08,1393.08
Assam,DARRANG,2009-10,1791.69
Assam,DHEMAJI,1999-00,490.9
Assam,DHEMAJI,2000-01,500.25
Assam,DHEMAJI,2001-02,511.35
Assam,DHEMAJI,2002-03,541.71
Assam,DHEMAJI,2003-04,569.96
Assam,DHEMAJI,2004-05,680.11
Assam,DHEMAJI,2005-06,707.54
Assam,DHEMAJI,2006-07,747.11
Assam,DHEMAJI,2007-08,779.61
Assam,DHEMAJI,2009-10,1023.41
Assam,DHUBRI,1999-00,1233.33
Assam,DHUBRI,2000-01,1258.65
Assam,DHUBRI,2001-02,1298.91
Assam,DHUBRI,2002-03,1383.24
Assam,DHUBRI,2003-04,1475.12
Assam,DHUBRI,2004-05,1323.03
Assam,DHUBRI,2005-06,1385.12
Assam,DHUBRI,2006-07,1478.07
Assam,DHUBRI,2007-08,1563.47
Assam,DHUBRI,2009-10,1983.62
Assam,DIBRUGARH,1999-00,2469.35
Assam,DIBRUGARH,2000-01,2530.29
Assam,DIBRUGARH,2001-02,2545.7
Assam,DIBRUGARH,2002-03,2673.99
Assam,DIBRUGARH,2003-04,2816.74
Assam,DIBRUGARH,2004-05,2759.06
Assam,DIBRUGARH,2005-06,2939.59
Assam,DIBRUGARH,2006-07,3123.54
Assam,DIBRUGARH,2007-08,3300.62
Assam,DIBRUGARH,2009-10,5034.98
Assam,DIMA HASAO,2009-10,846.77
Assam,GOALPARA,1999-00,690.76
Assam,GOALPARA,2000-01,703.76
Assam,GOALPARA,2001-02,731.25
Assam,GOALPARA,2002-03,786.36
Assam,GOALPARA,2003-04,839.16
