City/Town,Name,Airport Traffic Level
Beijing,PEK,1
Tokyo,NRT,1
Seoul,ICN,1
Taipei,TPE,1
Dhaka,DAC,1
Delhi,DEL,1
Kathmandu,KTM,1
Colombo,CMB,1
Phnom Penh,PNH,1
Jakarta,CGK,1
Vientiane,VTE,1
Manila,MNL,1
Singapore,SIN,1
Bangkok,BKK,1
Hanoi,HAN,1
Kuala Lumpur,KUL,1
