From,To,Distance,Time,Cheapest Price,Aircraft Type,Number of Flights
LKO,AGR,182,65,23,Turbo-prop,1.0
LKO,IXD,105,50,20,Turbo-prop,1.0
DED,JAI,273,75,63,Turbo-prop,2.0
DED,IXD,393,95,49,Turbo-prop,1.0
AMD,BHJ,188,60,43,Regional Jet,2.0
AMD,IXG,514,85,78,Regional Jet,2.0
BLR,HBX,230,95,44,Regional Jet,1.0
BLR,GBI,288,90,191,Regional Jet,1.0
BLR,IXX,325,70,180,Regional Jet,1.0
AMD,HYD,551,105,69,Others,2.0
AMD,GOX,513,100,60,Others,2.0
BLR,GOI,299,75,26,Others,1.0
BLR,GOX,310,70,30,Others,1.0
BLR,BOM,517,125,42,Others,1.0
BLR,VNS,910,145,85,Others,2.0
BOM,IXJ,947,170,111,Others,1.0
BOM,BBI,845,140,46,Others,1.0
BOM,BLR,517,90,40,Others,1.0
BOM,GOI,263,75,25,Others,1.0
MAA,CCU,859,150,82,Others,1.0
HYD,AMD,551,100,71,Others,2.0
CCU,PNQ,979,160,78,Others,1.0
DEL,IXB,698,115,77,Others,1.0
GAU,BOM,1286,210,105,Others,2.0
LKO,BLR,958,160,55,Others,1.0
LKO,GOI,907,150,69,Others,1.0
DEL,COK,1272,195,88,Wide Body,1.0
